??,??(V),??(A),??(W),??(Hz),????,??,??
1,220.04,0.224,39.00,49.99,0.791,8:20:52 PM:245,1
2,220.18,0.210,35.27,50.01,0.763,8:20:52 PM:667,1
3,220.19,0.224,38.33,50.02,0.777,8:20:53 PM:042,1
4,220.01,0.238,39.54,50.00,0.755,8:20:53 PM:432,1
5,219.93,0.261,47.16,50.02,0.822,8:20:53 PM:823,1
6,219.73,0.259,46.26,50.02,0.813,8:20:54 PM:198,1
7,219.98,0.267,49.44,50.01,0.842,8:20:54 PM:576,1
8,220.01,0.309,59.89,50.03,0.881,8:20:54 PM:951,1
9,220.03,0.311,59.09,50.00,0.863,8:20:55 PM:326,1
10,220.07,0.294,56.10,50.02,0.867,8:20:55 PM:701,1
11,220.00,0.326,63.93,50.01,0.891,8:20:56 PM:076,1
12,219.99,0.306,59.33,50.01,0.881,8:20:56 PM:497,1
13,219.92,0.391,78.82,50.01,0.917,8:20:56 PM:888,1
14,220.03,0.202,33.46,50.02,0.753,8:20:57 PM:279,1
15,219.91,0.229,40.59,50.02,0.806,8:20:57 PM:669,1
16,219.77,0.207,32.50,50.02,0.714,8:20:58 PM:044,1
17,219.75,0.234,40.21,49.99,0.782,8:20:58 PM:434,1
18,219.82,0.213,36.07,50.00,0.770,8:20:58 PM:825,1
19,219.75,0.239,42.05,49.99,0.801,8:20:59 PM:216,1
20,219.74,0.228,37.22,50.01,0.743,8:20:59 PM:606,1
21,219.71,0.266,49.28,49.99,0.843,8:20:59 PM:981,1
22,219.78,0.282,52.98,50.00,0.855,8:21:00 PM:371,1
23,220.02,0.192,30.29,50.00,0.717,8:21:00 PM:762,1
24,219.97,0.244,40.93,50.02,0.763,8:21:01 PM:153,1
25,219.92,0.260,46.62,49.99,0.815,8:21:01 PM:530,1
26,219.77,0.237,40.99,49.98,0.787,8:21:01 PM:905,1
27,219.70,0.214,35.44,49.98,0.754,8:21:02 PM:280,1
28,219.88,0.221,36.12,49.98,0.743,8:21:02 PM:655,1
29,219.88,0.248,43.77,49.99,0.803,8:21:03 PM:030,1
30,219.90,0.255,45.00,50.00,0.803,8:21:03 PM:420,1
31,219.75,0.383,57.51,49.98,0.683,8:21:03 PM:814,1
32,219.66,0.359,70.21,49.97,0.890,8:21:06 PM:255,1
33,219.61,0.250,43.30,49.97,0.789,8:21:06 PM:672,1
34,219.56,0.373,74.26,49.96,0.907,8:21:07 PM:057,1
35,219.76,0.286,52.63,49.98,0.837,8:21:07 PM:423,1
36,219.65,0.370,51.81,49.97,0.637,8:21:07 PM:809,1
37,219.61,0.235,41.91,49.95,0.812,8:21:08 PM:199,1
38,219.53,0.224,36.59,49.93,0.744,8:21:08 PM:574,1
39,219.48,0.295,49.52,49.96,0.765,8:21:08 PM:965,1
40,219.64,0.209,33.77,49.97,0.736,8:21:09 PM:340,1
41,219.60,0.431,86.24,49.97,0.911,8:21:09 PM:730,1
42,219.58,0.437,87.51,49.95,0.912,8:21:10 PM:094,1
43,219.50,0.353,69.24,49.95,0.894,8:21:10 PM:502,1
44,219.49,0.273,51.06,49.95,0.852,8:21:10 PM:887,1
45,219.61,0.354,68.55,49.96,0.882,8:21:11 PM:261,1
46,219.56,0.421,84.74,49.96,0.917,8:21:11 PM:637,1
47,219.56,0.434,76.49,49.96,0.803,8:21:12 PM:012,1
48,219.58,0.512,106.13,49.97,0.944,8:21:12 PM:381,1
49,219.69,0.426,86.68,49.97,0.926,8:21:12 PM:757,1
50,219.73,0.431,86.91,49.95,0.918,8:21:13 PM:130,1
51,219.76,0.363,67.36,49.95,0.844,8:21:13 PM:503,1
52,219.76,0.453,90.79,49.96,0.912,8:21:13 PM:879,1
53,219.62,0.425,86.46,49.97,0.926,8:21:14 PM:252,1
54,219.52,0.427,86.35,49.96,0.921,8:21:14 PM:631,1
55,219.49,0.406,82.05,49.97,0.921,8:21:15 PM:016,1
56,219.55,0.375,75.14,49.97,0.913,8:21:15 PM:393,1
57,219.58,0.431,87.60,49.97,0.926,8:21:15 PM:772,1
58,219.74,0.316,55.41,49.97,0.798,8:21:16 PM:141,1
59,219.62,0.224,37.68,49.98,0.766,8:21:16 PM:531,1
60,219.59,0.244,44.08,49.99,0.823,8:21:16 PM:913,1
61,219.48,0.293,54.94,49.98,0.854,8:21:17 PM:281,1
62,219.48,0.308,56.70,49.96,0.839,8:21:17 PM:663,1
63,219.59,0.373,74.34,49.97,0.908,8:21:18 PM:040,1
64,219.55,0.359,68.04,49.97,0.863,8:21:18 PM:418,1
65,219.53,0.427,86.53,49.97,0.923,8:21:18 PM:792,1
66,219.51,0.380,75.82,49.98,0.909,8:21:19 PM:156,1
67,219.31,0.421,85.04,49.97,0.921,8:21:19 PM:537,1
68,219.31,0.348,65.50,49.97,0.858,8:21:19 PM:919,1
69,219.31,0.468,96.04,49.97,0.936,8:21:20 PM:291,1
70,219.31,0.404,81.65,49.98,0.922,8:21:20 PM:663,1
71,219.61,0.355,54.57,49.97,0.700,8:21:21 PM:038,1
72,219.55,0.353,67.66,49.96,0.873,8:21:21 PM:416,1
73,219.51,0.307,57.59,49.96,0.855,8:21:21 PM:785,1
74,219.55,0.383,72.68,49.97,0.864,8:21:22 PM:155,1
75,219.59,0.425,85.92,49.98,0.921,8:21:22 PM:533,1
76,219.54,0.426,85.61,49.99,0.915,8:21:22 PM:917,1
77,219.59,0.437,66.57,49.99,0.694,8:21:23 PM:290,1
78,219.59,0.393,57.57,49.96,0.667,8:21:23 PM:671,1
79,219.57,0.522,65.11,49.97,0.568,8:21:24 PM:053,1
80,219.47,0.324,61.73,49.98,0.868,8:21:24 PM:441,1
81,219.45,0.396,72.25,49.97,0.831,8:21:24 PM:818,1
82,219.44,0.423,83.57,49.97,0.900,8:21:25 PM:202,1
83,219.49,0.323,60.56,49.97,0.854,8:21:25 PM:591,1
84,219.44,0.395,77.71,49.98,0.896,8:21:25 PM:958,1
85,219.61,0.324,59.83,49.96,0.841,8:21:26 PM:327,1
86,219.44,0.337,64.58,49.96,0.873,8:21:26 PM:708,1
87,219.33,0.379,73.41,49.97,0.883,8:21:27 PM:092,1
88,219.40,0.397,79.11,49.96,0.908,8:21:27 PM:475,1
89,219.30,0.427,85.78,49.98,0.916,8:21:27 PM:858,1
90,219.19,0.481,99.08,49.99,0.940,8:21:28 PM:244,1
91,219.32,0.458,93.97,49.96,0.936,8:21:28 PM:610,1
92,219.41,0.462,95.00,49.96,0.937,8:21:28 PM:991,1
93,219.30,0.457,93.74,49.98,0.935,8:21:29 PM:369,1
94,219.24,0.455,92.81,49.98,0.930,8:21:29 PM:746,1
95,219.14,0.454,93.01,49.97,0.935,8:21:30 PM:123,1
96,219.27,0.409,82.79,49.96,0.923,8:21:30 PM:492,1
97,219.36,0.469,95.82,49.97,0.931,8:21:30 PM:877,1
98,219.43,0.394,79.09,49.98,0.915,8:21:31 PM:261,1
99,219.29,0.410,83.09,49.98,0.924,8:21:31 PM:632,1
100,219.25,0.424,86.26,49.97,0.928,8:21:32 PM:012,1
101,219.29,0.445,90.90,49.98,0.931,8:21:32 PM:382,1
102,219.45,0.410,82.66,49.97,0.919,8:21:32 PM:765,1
