??,??(V),??(A),??(W),??(Hz),????,??,??
91,220.17,0.283,26.07,50.00,0.418,8:50:03 PM:353,1
92,220.25,0.202,34.24,50.01,0.770,8:50:03 PM:728,1
93,220.24,0.222,37.27,49.99,0.762,8:50:04 PM:103,1
94,220.12,0.321,41.70,49.99,0.590,8:50:04 PM:478,1
95,220.18,0.274,51.56,49.98,0.855,8:50:04 PM:853,1
96,220.21,0.201,33.47,49.98,0.756,8:50:05 PM:227,1
97,220.28,0.231,41.01,49.99,0.806,8:50:05 PM:603,1
98,220.27,0.242,41.64,49.98,0.781,8:50:05 PM:977,1
99,220.21,0.260,44.62,49.99,0.779,8:50:06 PM:352,1
100,220.19,0.222,37.67,49.99,0.771,8:50:06 PM:727,1
101,220.30,0.205,34.33,49.99,0.760,8:50:07 PM:102,1
102,220.25,0.272,50.27,49.99,0.839,8:50:07 PM:493,1
103,220.29,0.287,54.61,49.99,0.864,8:50:07 PM:868,1
104,220.23,0.301,58.09,49.99,0.876,8:50:08 PM:242,1
105,220.24,0.305,59.05,49.99,0.879,8:50:08 PM:633,1
106,220.14,0.305,58.32,50.00,0.869,8:50:09 PM:023,1
107,220.22,0.291,55.83,49.99,0.871,8:50:09 PM:398,1
108,220.22,0.342,67.22,50.00,0.892,8:50:09 PM:773,1
109,220.26,0.285,52.74,49.99,0.840,8:50:10 PM:164,1
110,220.27,0.291,55.23,50.00,0.862,8:50:10 PM:546,1
111,220.31,0.300,57.83,49.98,0.875,8:50:10 PM:921,1
112,220.36,0.336,65.96,50.01,0.891,8:50:11 PM:296,1
113,220.39,0.275,51.92,49.99,0.857,8:50:11 PM:671,1
114,220.44,0.266,49.30,49.99,0.841,8:50:12 PM:061,1
115,220.38,0.288,54.59,49.99,0.860,8:50:12 PM:452,1
116,220.43,0.345,68.53,50.00,0.901,8:50:12 PM:843,1
117,220.40,0.327,62.58,50.00,0.868,8:50:13 PM:217,1
118,220.38,0.229,40.46,50.01,0.802,8:50:13 PM:608,1
119,220.45,0.211,33.73,50.01,0.725,8:50:13 PM:983,1
120,220.47,0.211,33.11,50.01,0.712,8:50:14 PM:358,1
121,220.40,0.271,43.43,50.01,0.727,8:50:14 PM:733,1
122,220.35,0.287,54.44,50.01,0.861,8:50:15 PM:108,1
123,220.41,0.242,42.74,49.99,0.801,8:50:15 PM:483,1
124,220.43,0.312,59.20,50.01,0.861,8:50:15 PM:857,1
125,220.53,0.329,50.79,50.01,0.700,8:50:16 PM:248,1
126,220.59,0.316,61.33,50.00,0.880,8:50:16 PM:623,1
127,220.54,0.335,66.17,50.02,0.896,8:50:16 PM:998,1
128,220.42,0.382,76.67,50.03,0.911,8:50:17 PM:388,1
129,220.45,0.341,67.52,50.00,0.898,8:50:17 PM:763,1
130,220.54,0.324,63.22,50.02,0.885,8:50:18 PM:154,1
131,220.40,0.324,62.88,50.00,0.881,8:50:18 PM:529,1
132,220.40,0.378,75.34,50.01,0.904,8:50:18 PM:935,1
133,220.37,0.317,60.99,50.01,0.873,8:50:19 PM:325,1
134,220.33,0.372,74.58,50.01,0.910,8:50:19 PM:716,1
135,220.34,0.274,51.75,50.03,0.857,8:50:20 PM:106,1
136,220.40,0.327,63.50,50.02,0.881,8:50:20 PM:481,1
137,220.54,0.311,60.09,50.01,0.876,8:50:20 PM:872,1
138,220.55,0.307,58.98,50.01,0.871,8:50:21 PM:247,1
139,220.39,0.394,79.37,50.03,0.914,8:50:21 PM:637,1
140,220.46,0.365,72.79,50.02,0.905,8:50:22 PM:028,1
141,220.52,0.317,61.83,50.02,0.885,8:50:22 PM:403,1
142,220.56,0.368,73.26,50.01,0.903,8:50:22 PM:793,1
143,220.60,0.364,69.04,50.03,0.860,8:50:23 PM:184,1
144,220.57,0.354,70.00,50.03,0.896,8:50:23 PM:559,1
145,220.58,0.376,74.57,50.02,0.899,8:50:23 PM:949,1
146,220.65,0.351,69.04,50.02,0.891,8:50:24 PM:340,1
147,220.62,0.407,82.55,50.03,0.919,8:50:24 PM:730,1
148,220.76,0.346,68.55,50.03,0.897,8:50:25 PM:121,1
149,220.76,0.345,68.11,50.02,0.894,8:50:25 PM:511,1
150,220.75,0.383,77.35,50.02,0.915,8:50:25 PM:902,1
