??,??(V),??(A),??(W),??(Hz),????,??,??
1,219.83,0.283,53.70,49.98,0.863,9:27:36 PM:340,1
2,219.89,0.286,53.41,49.98,0.849,9:27:36 PM:715,1
3,219.74,0.298,56.68,49.98,0.866,9:27:37 PM:089,1
4,219.71,0.307,57.20,49.98,0.848,9:27:37 PM:465,1
5,219.74,0.310,57.64,49.99,0.846,9:27:37 PM:839,1
6,219.80,0.348,68.77,49.98,0.899,9:27:38 PM:199,1
7,219.68,0.310,59.37,49.98,0.872,9:27:38 PM:579,1
8,219.68,0.406,82.02,50.00,0.920,9:27:38 PM:957,1
9,219.68,0.413,83.66,49.99,0.922,9:27:39 PM:340,1
10,219.74,0.408,81.44,49.99,0.908,9:27:39 PM:708,1
11,219.70,0.396,76.63,49.98,0.881,9:27:40 PM:091,1
12,219.78,0.306,57.69,49.97,0.858,9:27:40 PM:482,1
13,219.67,0.329,52.63,49.99,0.728,9:27:40 PM:860,1
14,219.77,0.291,52.72,50.00,0.824,9:27:41 PM:247,1
15,219.90,0.224,39.92,50.00,0.811,9:27:41 PM:626,1
16,219.72,0.353,66.30,50.01,0.855,9:27:42 PM:011,1
17,219.75,0.259,47.56,50.02,0.836,9:27:42 PM:386,1
18,219.84,0.236,40.95,49.99,0.789,9:27:42 PM:777,1
19,219.88,0.215,36.31,50.00,0.768,9:27:43 PM:152,1
20,219.89,0.299,40.37,49.99,0.614,9:27:43 PM:542,1
21,219.77,0.350,69.48,49.99,0.903,9:27:43 PM:927,1
22,219.92,0.375,75.01,50.00,0.910,9:27:44 PM:313,1
23,219.90,0.357,57.82,50.00,0.737,9:27:44 PM:728,1
24,219.86,0.228,38.04,50.00,0.759,9:27:45 PM:094,1
25,219.85,0.191,31.72,50.00,0.756,9:27:45 PM:469,1
26,219.92,0.239,42.92,50.00,0.817,9:27:45 PM:848,1
27,219.75,0.239,41.27,50.01,0.786,9:27:46 PM:229,1
28,219.76,0.416,79.10,50.02,0.865,9:27:46 PM:597,1
29,219.72,0.361,65.57,50.00,0.827,9:27:46 PM:987,1
30,219.78,0.276,39.13,50.00,0.645,9:27:47 PM:365,1
31,219.79,0.457,45.99,50.02,0.458,9:27:47 PM:749,1
32,219.84,0.250,36.88,50.01,0.671,9:27:48 PM:132,1
33,219.74,0.325,63.55,50.02,0.890,9:27:48 PM:515,1
34,219.78,0.201,33.96,50.03,0.769,9:27:48 PM:899,1
35,219.88,0.248,44.74,50.02,0.820,9:27:49 PM:285,1
36,219.90,0.199,31.34,50.02,0.716,9:27:49 PM:665,1
37,219.71,0.351,67.07,50.02,0.870,9:27:50 PM:034,1
38,219.75,0.280,51.81,49.99,0.842,9:27:50 PM:417,1
39,219.90,0.243,41.42,50.01,0.775,9:27:50 PM:791,1
40,219.83,0.259,43.91,50.02,0.771,9:27:51 PM:169,1
41,219.86,0.283,53.23,50.00,0.855,9:27:51 PM:537,1
42,219.82,0.355,50.34,50.02,0.645,9:27:51 PM:918,1
43,219.73,0.330,61.35,50.04,0.846,9:27:52 PM:308,1
44,220.03,0.265,44.31,50.02,0.760,9:27:52 PM:686,1
45,219.76,0.308,56.45,50.01,0.834,9:27:53 PM:069,1
46,219.68,0.263,48.08,50.01,0.832,9:27:53 PM:453,1
47,219.71,0.287,49.50,49.99,0.785,9:27:53 PM:834,1
48,219.64,0.285,53.84,50.02,0.860,9:27:54 PM:207,1
49,219.68,0.224,39.18,50.04,0.796,9:27:54 PM:578,1
50,219.53,0.306,54.80,50.02,0.816,9:27:54 PM:964,1
51,219.61,0.219,35.14,50.01,0.731,9:27:55 PM:338,1
52,219.59,0.338,64.16,50.00,0.864,9:27:55 PM:709,1
53,219.49,0.282,52.83,50.01,0.853,9:27:56 PM:089,1
54,219.63,0.434,87.01,50.03,0.913,9:27:56 PM:474,1
55,219.59,0.338,66.63,50.04,0.898,9:27:56 PM:856,1
56,219.55,0.294,53.45,50.03,0.828,9:27:57 PM:224,1
57,219.63,0.259,47.69,50.04,0.838,9:27:57 PM:608,1
58,219.54,0.302,57.12,50.02,0.861,9:27:57 PM:992,1
59,219.51,0.297,55.38,50.03,0.849,9:27:58 PM:375,1
60,219.52,0.283,51.14,50.01,0.823,9:27:58 PM:766,1
61,219.58,0.292,53.67,50.03,0.837,9:27:59 PM:143,1
62,219.60,0.308,52.47,50.04,0.776,9:27:59 PM:526,1
63,219.50,0.269,48.84,50.03,0.827,9:27:59 PM:905,1
64,219.48,0.308,58.29,50.02,0.862,9:28:00 PM:296,1
65,219.50,0.386,76.38,50.04,0.902,9:28:00 PM:678,1
66,219.38,0.315,58.88,50.03,0.852,9:28:01 PM:045,1
67,219.51,0.317,60.75,50.03,0.873,9:28:01 PM:428,1
68,219.53,0.331,62.28,50.04,0.857,9:28:01 PM:812,1
69,219.31,0.316,61.03,50.01,0.881,9:28:02 PM:196,1
70,219.44,0.346,50.55,50.04,0.666,9:28:02 PM:580,1
71,219.47,0.231,38.94,50.05,0.768,9:28:02 PM:963,1
72,219.33,0.243,42.77,50.04,0.802,9:28:03 PM:330,1
73,219.47,0.273,46.75,50.03,0.780,9:28:03 PM:714,1
74,219.46,0.240,40.29,50.03,0.765,9:28:04 PM:081,1
75,219.50,0.348,43.73,50.02,0.572,9:28:04 PM:465,1
76,219.60,0.206,34.40,50.03,0.760,9:28:04 PM:849,1
77,219.57,0.216,35.59,50.02,0.750,9:28:05 PM:231,1
78,219.52,0.192,31.83,50.05,0.755,9:28:05 PM:597,1
79,219.43,0.234,41.55,50.03,0.809,9:28:05 PM:966,1
80,219.33,0.267,47.36,50.03,0.809,9:28:06 PM:335,1
81,219.53,0.229,39.05,50.02,0.777,9:28:06 PM:718,1
82,219.45,0.395,78.94,50.05,0.911,9:28:07 PM:094,1
83,219.53,0.335,64.20,50.05,0.873,9:28:07 PM:479,1
84,219.71,0.354,69.24,50.03,0.890,9:28:07 PM:847,1
85,219.66,0.273,48.80,50.04,0.814,9:28:08 PM:235,1
86,219.57,0.291,55.09,50.04,0.862,9:28:08 PM:616,1
87,219.65,0.356,69.15,50.00,0.884,9:28:08 PM:987,1
88,219.71,0.347,60.55,50.03,0.794,9:28:09 PM:370,1
89,219.74,0.560,53.76,50.03,0.437,9:28:09 PM:737,1
90,219.77,0.285,52.88,50.04,0.844,9:28:10 PM:122,1
91,219.75,0.284,53.38,50.04,0.855,9:28:10 PM:490,1
92,219.71,0.275,52.08,50.04,0.862,9:28:10 PM:870,1
93,219.77,0.305,57.68,50.02,0.860,9:28:11 PM:237,1
94,219.76,0.279,52.62,50.02,0.858,9:28:11 PM:624,1
95,219.60,0.320,59.16,50.02,0.842,9:28:12 PM:006,1
96,219.78,0.294,55.59,50.03,0.860,9:28:12 PM:390,1
97,219.87,0.331,58.06,50.02,0.798,9:28:12 PM:773,1
98,219.68,0.194,26.19,50.02,0.615,9:28:13 PM:139,1
99,219.51,0.230,40.99,50.01,0.812,9:28:13 PM:523,1
100,219.71,0.213,36.77,50.01,0.786,9:28:13 PM:906,1
101,219.71,0.230,39.81,50.03,0.788,9:28:14 PM:288,1
102,219.65,0.317,50.24,50.03,0.722,9:28:14 PM:674,1
103,219.61,0.360,63.01,50.01,0.797,9:28:15 PM:058,1
104,219.61,0.230,41.27,50.01,0.817,9:28:15 PM:426,1
105,219.62,0.256,44.12,50.01,0.785,9:28:15 PM:809,1
106,219.44,0.332,53.04,50.02,0.728,9:28:16 PM:176,1
107,219.54,0.271,41.74,50.01,0.702,9:28:16 PM:559,1
108,219.61,0.297,56.49,50.01,0.866,9:28:16 PM:927,1
109,219.55,0.288,45.80,50.01,0.724,9:28:17 PM:310,1
110,219.80,0.292,41.42,50.01,0.645,9:28:17 PM:678,1
111,219.89,0.247,41.43,50.01,0.763,9:28:18 PM:044,1
112,219.50,0.275,45.56,50.01,0.755,9:28:18 PM:411,1
113,219.43,0.269,49.56,50.01,0.840,9:28:18 PM:778,1
114,219.63,0.209,34.37,50.00,0.749,9:28:19 PM:145,1
115,219.59,0.296,53.39,49.99,0.821,9:28:19 PM:529,1
116,219.55,0.226,38.50,50.02,0.776,9:28:19 PM:895,1
117,219.55,0.219,38.59,50.02,0.803,9:28:20 PM:280,1
118,219.63,0.232,40.51,49.98,0.795,9:28:20 PM:664,1
119,219.54,0.247,42.83,50.01,0.790,9:28:21 PM:046,1
120,219.63,0.264,45.19,50.00,0.779,9:28:21 PM:431,1
121,219.49,0.229,39.12,50.01,0.778,9:28:21 PM:797,1
