??,??(V),??(A),??(W),??(Hz),????,??,??
1,221.19,0.304,57.88,50.04,0.861,8:57:07 PM:195,1
2,221.15,0.244,41.28,50.05,0.765,8:57:07 PM:570,1
3,221.06,0.236,42.58,50.03,0.816,8:57:07 PM:945,1
4,221.09,0.259,44.93,50.07,0.785,8:57:08 PM:319,1
5,221.11,0.341,67.30,50.04,0.893,8:57:08 PM:694,1
6,221.23,0.291,50.86,50.05,0.790,8:57:09 PM:069,1
7,221.18,0.319,61.70,50.04,0.874,8:57:09 PM:442,1
8,221.15,0.217,37.51,50.03,0.782,8:57:09 PM:816,1
9,221.06,0.300,57.30,50.02,0.864,8:57:10 PM:191,1
10,220.87,0.300,53.06,50.04,0.801,8:57:10 PM:566,1
11,220.78,0.266,49.48,50.06,0.843,8:57:10 PM:941,1
12,220.87,0.348,58.65,50.02,0.763,8:57:11 PM:338,1
13,220.68,0.369,72.93,50.01,0.896,8:57:11 PM:856,1
14,220.91,0.253,44.72,50.05,0.800,8:57:12 PM:247,1
15,221.04,0.334,61.33,50.04,0.831,8:57:12 PM:633,1
16,221.23,0.236,40.56,50.05,0.777,8:57:13 PM:004,1
17,221.14,0.324,59.25,50.04,0.827,8:57:13 PM:386,1
18,221.11,0.313,60.36,50.04,0.872,8:57:13 PM:753,1
19,221.14,0.293,55.93,50.04,0.863,8:57:14 PM:138,1
20,221.17,0.322,53.24,50.03,0.748,8:57:14 PM:501,1
21,221.05,0.332,62.76,50.03,0.855,8:57:14 PM:893,1
22,221.08,0.257,44.41,50.03,0.782,8:57:15 PM:268,1
23,221.13,0.305,56.44,50.03,0.837,8:57:15 PM:643,1
24,221.14,0.412,82.70,50.04,0.908,8:57:16 PM:022,1
25,221.08,0.251,45.58,50.02,0.821,8:57:16 PM:407,1
26,220.79,0.269,50.39,50.03,0.848,8:57:16 PM:790,1
27,221.07,0.269,49.90,50.03,0.839,8:57:17 PM:158,1
28,220.96,0.248,44.02,50.04,0.803,8:57:17 PM:535,1
29,220.93,0.284,52.13,50.03,0.831,8:57:17 PM:909,1
30,220.94,0.265,48.85,50.03,0.834,8:57:18 PM:287,1
31,220.99,0.307,59.61,50.04,0.879,8:57:18 PM:659,1
32,221.06,0.323,60.37,50.04,0.846,8:57:19 PM:040,1
33,220.98,0.368,72.29,50.04,0.889,8:57:19 PM:415,1
34,220.92,0.268,49.96,50.03,0.844,8:57:19 PM:790,1
35,220.95,0.245,44.64,50.05,0.825,8:57:20 PM:167,1
36,220.96,0.287,53.87,50.03,0.849,8:57:20 PM:534,1
37,220.92,0.368,66.41,50.03,0.817,8:57:20 PM:912,1
38,221.02,0.375,65.60,50.06,0.791,8:57:21 PM:286,1
39,220.90,0.309,58.63,50.03,0.859,8:57:21 PM:655,1
40,220.91,0.233,40.56,50.03,0.788,8:57:22 PM:045,1
