??,??(V),??(A),??(W),??(Hz),????,??,??
1,219.24,0.302,50.15,50.02,0.757,9:22:35 PM:059,1
2,219.32,0.210,34.28,50.02,0.744,9:22:35 PM:433,1
3,219.24,0.307,58.92,50.02,0.875,9:22:35 PM:808,1
4,219.26,0.311,59.85,50.01,0.878,9:22:36 PM:183,1
5,219.22,0.316,51.22,50.04,0.739,9:22:36 PM:560,1
6,219.09,0.226,36.84,50.03,0.744,9:22:36 PM:935,1
7,219.20,0.250,40.00,50.02,0.730,9:22:37 PM:310,1
8,219.17,0.359,69.68,50.03,0.886,9:22:37 PM:685,1
9,219.23,0.310,59.97,50.03,0.882,9:22:38 PM:060,1
10,219.30,0.338,59.43,50.02,0.802,9:22:38 PM:435,1
11,219.38,0.291,54.09,50.02,0.847,9:22:38 PM:810,1
12,219.29,0.239,43.14,50.02,0.823,9:22:39 PM:185,1
13,219.27,0.281,43.27,50.03,0.702,9:22:39 PM:559,1
14,219.12,0.192,31.10,50.04,0.739,9:22:39 PM:950,1
15,219.16,0.234,40.28,50.01,0.785,9:22:40 PM:341,1
16,219.34,0.240,42.56,50.02,0.808,9:22:40 PM:715,1
17,219.29,0.289,47.07,50.02,0.743,9:22:41 PM:106,1
18,219.31,0.301,55.12,50.03,0.835,9:22:41 PM:497,1
19,219.31,0.294,53.70,50.02,0.833,9:22:41 PM:887,1
20,219.34,0.463,63.77,50.04,0.628,9:22:42 PM:262,1
21,219.43,0.308,59.24,50.04,0.877,9:22:42 PM:652,1
22,219.31,0.330,62.29,50.02,0.861,9:22:43 PM:034,1
23,219.27,0.279,52.27,50.03,0.854,9:22:43 PM:424,1
24,219.30,0.298,55.19,50.03,0.844,9:22:43 PM:800,1
25,219.37,0.306,58.39,50.03,0.870,9:22:44 PM:190,1
26,219.35,0.353,68.89,50.04,0.890,9:22:44 PM:565,1
27,219.28,0.335,61.00,50.04,0.830,9:22:44 PM:955,1
28,219.43,0.307,57.55,50.05,0.854,9:22:45 PM:330,1
29,219.38,0.249,38.01,50.04,0.696,9:22:45 PM:721,1
30,219.28,0.338,64.99,50.03,0.877,9:22:46 PM:096,1
31,219.42,0.329,63.66,50.04,0.882,9:22:46 PM:486,1
32,219.31,0.354,68.93,50.05,0.888,9:22:46 PM:861,1
33,219.21,0.355,69.85,50.04,0.898,9:22:47 PM:252,1
34,219.21,0.375,74.63,50.05,0.908,9:22:47 PM:642,1
35,219.19,0.396,77.53,50.04,0.893,9:22:48 PM:017,1
36,219.15,0.442,88.49,50.04,0.914,9:22:48 PM:408,1
37,219.21,0.468,96.34,50.06,0.939,9:22:48 PM:798,1
38,219.21,0.453,92.95,50.04,0.936,9:22:49 PM:189,1
39,219.31,0.412,83.60,50.04,0.925,9:22:49 PM:579,1
40,219.12,0.422,80.75,50.04,0.873,9:22:49 PM:970,1
41,219.13,0.412,83.11,50.03,0.921,9:22:50 PM:360,1
42,219.26,0.389,77.90,50.04,0.913,9:22:50 PM:751,1
43,219.07,0.385,75.81,50.05,0.899,9:22:51 PM:141,1
44,219.18,0.358,70.86,50.04,0.903,9:22:51 PM:532,1
45,218.97,0.286,54.55,50.04,0.871,9:22:51 PM:922,1
46,218.94,0.306,58.23,50.05,0.869,9:22:52 PM:313,1
47,219.24,0.293,55.06,50.05,0.857,9:22:52 PM:704,1
48,219.00,0.299,57.33,50.03,0.876,9:22:53 PM:078,1
49,219.06,0.302,58.10,50.04,0.878,9:22:53 PM:453,1
50,219.05,0.347,68.37,50.03,0.899,9:22:53 PM:828,1
51,218.91,0.284,53.81,50.04,0.865,9:22:54 PM:203,1
52,218.97,0.302,58.10,50.04,0.879,9:22:54 PM:578,1
53,219.02,0.292,55.72,50.04,0.871,9:22:54 PM:953,1
54,219.12,0.308,58.77,50.04,0.871,9:22:55 PM:344,1
55,219.08,0.335,65.04,50.04,0.886,9:22:55 PM:718,1
56,218.89,0.363,72.14,50.05,0.908,9:22:56 PM:109,1
57,218.87,0.353,69.79,50.03,0.903,9:22:56 PM:500,1
58,218.81,0.399,79.74,50.04,0.913,9:22:56 PM:890,1
59,218.71,0.333,64.54,50.05,0.886,9:22:57 PM:281,1
60,218.88,0.363,71.85,278.47,0.904,9:22:57 PM:655,1
61,218.80,0.367,73.09,50.02,0.910,9:22:58 PM:046,1
62,218.92,0.348,67.63,50.04,0.888,9:22:58 PM:421,1
63,218.87,0.380,75.71,50.02,0.910,9:22:58 PM:811,1
64,218.88,0.347,68.49,50.04,0.902,9:22:59 PM:202,1
65,218.88,0.345,67.06,50.04,0.888,9:22:59 PM:593,1
66,218.64,0.346,68.21,50.02,0.902,9:22:59 PM:983,1
67,218.76,0.299,56.33,50.04,0.861,9:23:00 PM:374,1
68,218.91,0.332,63.44,50.03,0.873,9:23:00 PM:764,1
69,218.69,0.305,58.61,50.04,0.879,9:23:01 PM:155,1
70,218.84,0.374,74.08,50.03,0.905,9:23:01 PM:545,1
71,218.86,0.339,66.43,50.03,0.895,9:23:01 PM:936,1
72,218.83,0.319,61.44,50.01,0.880,9:23:02 PM:326,1
73,218.93,0.382,75.60,50.03,0.904,9:23:02 PM:701,1
74,218.79,0.361,69.68,50.02,0.882,9:23:03 PM:092,1
75,219.01,0.346,68.18,50.03,0.900,9:23:03 PM:498,1
76,219.04,0.348,68.64,50.04,0.900,9:23:03 PM:873,1
77,218.97,0.360,71.13,50.03,0.902,9:23:04 PM:263,1
78,219.03,0.380,74.80,50.03,0.899,9:23:04 PM:654,1
79,218.90,0.326,63.48,50.01,0.890,9:23:05 PM:029,1
80,219.06,0.332,64.75,50.02,0.890,9:23:05 PM:419,1
81,219.10,0.360,70.30,50.04,0.891,9:23:05 PM:810,1
82,219.02,0.342,67.21,50.03,0.897,9:23:06 PM:200,1
83,219.10,0.320,61.72,50.03,0.880,9:23:06 PM:575,1
84,218.87,0.358,70.86,50.03,0.904,9:23:06 PM:966,1
85,218.94,0.386,76.98,50.04,0.911,9:23:07 PM:356,1
86,219.13,0.322,62.30,50.02,0.883,9:23:07 PM:731,1
87,219.07,0.329,63.53,50.04,0.881,9:23:08 PM:122,1
88,219.20,0.332,64.93,50.03,0.892,9:23:08 PM:505,1
89,219.15,0.285,54.27,50.02,0.869,9:23:08 PM:895,1
90,219.14,0.276,49.78,50.02,0.823,9:23:09 PM:286,1
91,219.24,0.219,36.54,50.02,0.761,9:23:09 PM:661,1
92,218.98,0.343,63.64,50.02,0.847,9:23:10 PM:051,1
93,219.24,0.356,69.86,50.03,0.895,9:23:10 PM:426,1
94,219.29,0.353,68.56,50.03,0.886,9:23:10 PM:817,1
95,219.05,0.369,73.37,50.03,0.908,9:23:11 PM:192,1
96,219.17,0.347,67.04,50.03,0.882,9:23:11 PM:582,1
97,219.21,0.324,63.01,50.03,0.887,9:23:11 PM:973,1
98,219.31,0.346,67.95,50.02,0.895,9:23:12 PM:363,1
99,219.25,0.383,76.71,50.03,0.914,9:23:12 PM:754,1
100,219.21,0.330,64.75,50.02,0.895,9:23:13 PM:144,1
101,219.26,0.339,65.55,50.03,0.882,9:23:13 PM:535,1
102,219.17,0.324,62.78,50.04,0.884,9:23:13 PM:925,1
103,219.07,0.388,78.12,50.04,0.919,9:23:14 PM:316,1
104,219.15,0.371,68.18,50.04,0.839,9:23:14 PM:706,1
105,219.11,0.328,63.74,50.03,0.887,9:23:15 PM:081,1
106,219.14,0.353,69.36,50.03,0.897,9:23:15 PM:472,1
107,219.17,0.372,73.21,50.04,0.898,9:23:15 PM:862,1
108,219.20,0.321,61.83,50.03,0.879,9:23:16 PM:253,1
109,219.37,0.328,63.65,50.04,0.885,9:23:16 PM:628,1
110,219.22,0.323,62.11,50.03,0.877,9:23:17 PM:018,1
111,219.13,0.300,57.05,50.05,0.868,9:23:17 PM:409,1
112,219.09,0.379,75.53,50.03,0.910,9:23:17 PM:784,1
113,219.17,0.343,67.60,50.03,0.899,9:23:18 PM:174,1
114,219.16,0.378,75.19,50.03,0.908,9:23:18 PM:565,1
115,219.22,0.378,75.68,50.02,0.913,9:23:18 PM:955,1
116,219.24,0.347,67.88,50.04,0.892,9:23:19 PM:346,1
117,219.26,0.343,67.73,50.03,0.901,9:23:19 PM:721,1
118,219.09,0.392,78.72,50.03,0.917,9:23:20 PM:111,1
119,219.45,0.322,61.77,50.03,0.874,9:23:20 PM:486,1
120,219.46,0.412,82.96,50.04,0.918,9:23:20 PM:877,1
121,219.31,0.388,77.55,50.02,0.911,9:23:21 PM:267,1
122,219.50,0.325,62.45,50.03,0.875,9:23:21 PM:642,1
