??,??(V),??(A),??(W),??(Hz),????,??,??
91,218.17,0.267,49.49,49.98,0.850,8:06:16 PM:537,1
92,218.30,0.294,53.67,49.98,0.836,8:06:16 PM:910,1
93,218.00,0.334,64.96,49.97,0.892,8:06:17 PM:286,1
94,218.10,0.355,69.81,49.96,0.902,8:06:17 PM:663,1
95,218.19,0.276,50.76,49.98,0.843,8:06:18 PM:052,1
96,217.98,0.352,69.23,49.97,0.902,8:06:18 PM:428,1
97,218.27,0.244,43.06,49.96,0.808,8:06:18 PM:803,1
98,218.27,0.349,68.07,49.97,0.894,8:06:19 PM:177,1
99,218.21,0.291,54.29,49.96,0.855,8:06:19 PM:563,1
100,218.15,0.249,44.92,49.97,0.827,8:06:19 PM:932,1
101,218.04,0.273,49.00,49.97,0.823,8:06:20 PM:306,1
102,217.98,0.359,70.73,49.95,0.904,8:06:20 PM:680,1
103,217.81,0.390,78.03,49.98,0.919,8:06:21 PM:068,1
104,217.84,0.398,79.85,49.97,0.921,8:06:21 PM:444,1
105,218.17,0.351,67.60,49.96,0.883,8:06:21 PM:819,1
106,218.20,0.359,71.04,49.98,0.907,8:06:22 PM:192,1
107,218.25,0.262,47.17,49.97,0.825,8:06:22 PM:566,1
108,218.23,0.393,75.19,49.95,0.877,8:06:22 PM:956,1
109,218.07,0.339,66.28,49.98,0.897,8:06:23 PM:332,1
110,218.05,0.326,60.49,49.98,0.851,8:06:23 PM:715,1
111,218.20,0.361,71.18,49.98,0.904,8:06:24 PM:088,1
112,218.32,0.335,64.85,49.97,0.887,8:06:24 PM:464,1
113,218.40,0.370,73.73,49.97,0.912,8:06:24 PM:837,1
114,218.31,0.333,63.95,49.96,0.880,8:06:25 PM:212,1
115,218.22,0.337,64.49,49.98,0.877,8:06:25 PM:586,1
116,218.50,0.292,46.93,49.96,0.735,8:06:25 PM:960,1
117,218.48,0.388,77.42,49.96,0.913,8:06:26 PM:335,1
118,218.54,0.449,91.31,49.96,0.931,8:06:26 PM:708,1
119,218.64,0.266,48.00,49.97,0.825,8:06:27 PM:096,1
120,218.59,0.402,53.85,49.99,0.613,8:06:27 PM:468,1
121,218.65,0.253,43.38,49.97,0.784,8:06:27 PM:841,1
122,218.52,0.316,60.74,49.97,0.880,8:06:28 PM:216,1
123,218.43,0.250,44.97,49.97,0.824,8:06:28 PM:588,1
124,218.56,0.279,51.94,49.97,0.852,8:06:28 PM:961,1
125,218.72,0.302,57.14,49.98,0.865,8:06:29 PM:332,1
126,218.72,0.409,61.58,49.98,0.688,8:06:29 PM:722,1
127,218.67,0.266,47.96,49.98,0.824,8:06:30 PM:095,1
128,218.48,0.330,62.93,49.97,0.873,8:06:30 PM:469,1
129,218.52,0.368,61.39,49.98,0.763,8:06:30 PM:843,1
130,218.42,0.365,72.48,49.97,0.909,8:06:31 PM:217,1
131,218.35,0.386,77.08,49.98,0.915,8:06:31 PM:589,1
132,218.48,0.411,83.04,49.99,0.925,8:06:31 PM:963,1
133,218.36,0.360,59.87,49.98,0.762,8:06:32 PM:336,1
134,218.36,0.411,80.90,49.96,0.901,8:06:32 PM:725,1
135,218.39,0.431,85.58,49.99,0.909,8:06:33 PM:114,1
136,218.08,0.451,91.29,49.97,0.928,8:06:33 PM:500,1
137,218.20,0.336,65.32,49.98,0.891,8:06:33 PM:876,1
138,218.23,0.323,61.85,49.97,0.877,8:06:34 PM:250,1
139,218.27,0.303,56.36,49.97,0.852,8:06:34 PM:622,1
140,218.26,0.370,72.99,49.98,0.904,8:06:34 PM:998,1
141,218.17,0.370,68.96,49.97,0.854,8:06:35 PM:373,1
142,218.33,0.356,69.24,49.98,0.891,8:06:35 PM:746,1
143,218.29,0.391,78.12,49.98,0.915,8:06:36 PM:129,1
144,218.16,0.417,83.62,49.97,0.919,8:06:36 PM:502,1
145,218.20,0.453,72.95,49.98,0.738,8:06:36 PM:875,1
146,218.26,0.404,81.16,49.97,0.920,8:06:37 PM:248,1
147,218.14,0.337,64.56,49.96,0.878,8:06:37 PM:619,1
148,218.21,0.273,50.79,49.99,0.853,8:06:37 PM:989,1
149,218.23,0.254,45.14,49.98,0.814,8:06:38 PM:361,1
150,218.21,0.287,52.38,49.98,0.836,8:06:38 PM:736,1
151,218.39,0.321,62.30,49.98,0.889,8:06:39 PM:107,1
152,218.42,0.343,67.22,49.98,0.897,8:06:39 PM:480,1
153,218.43,0.261,48.04,49.97,0.843,8:06:39 PM:853,1
154,218.43,0.285,51.73,49.99,0.831,8:06:40 PM:228,1
155,218.32,0.376,74.68,49.97,0.910,8:06:40 PM:617,1
156,218.26,0.339,64.61,49.98,0.873,8:06:40 PM:992,1
157,218.26,0.330,60.28,49.96,0.837,8:06:41 PM:367,1
158,218.28,0.368,70.51,49.96,0.878,8:06:41 PM:740,1
159,218.54,0.355,68.90,49.99,0.888,8:06:42 PM:114,1
160,218.46,0.314,58.60,49.97,0.854,8:06:42 PM:489,1
161,218.43,0.310,59.21,49.97,0.874,8:06:42 PM:863,1
162,218.47,0.339,66.04,49.98,0.892,8:06:43 PM:237,1
163,218.25,0.320,61.84,49.98,0.885,8:06:43 PM:610,1
164,218.29,0.352,68.91,49.96,0.897,8:06:43 PM:983,1
165,218.40,0.342,66.47,49.98,0.890,8:06:44 PM:357,1
166,218.44,0.287,54.16,49.97,0.864,8:06:44 PM:729,1
167,218.36,0.334,64.67,49.97,0.887,8:06:45 PM:103,1
168,218.31,0.328,56.81,49.97,0.793,8:06:45 PM:478,1
169,218.43,0.342,67.16,49.98,0.899,8:06:45 PM:867,1
170,218.45,0.359,71.03,49.99,0.906,8:06:46 PM:241,1
171,218.44,0.358,70.76,49.97,0.905,8:06:46 PM:630,1
172,218.50,0.583,66.88,49.98,0.525,8:06:47 PM:004,1
173,218.31,0.347,67.63,49.98,0.893,8:06:47 PM:373,1
174,218.30,0.278,49.99,49.97,0.824,8:06:47 PM:748,1
175,218.46,0.353,69.47,49.97,0.901,8:06:48 PM:123,1
176,218.40,0.350,69.02,49.99,0.903,8:06:48 PM:496,1
177,218.46,0.332,63.23,49.99,0.872,8:06:48 PM:871,1
178,218.48,0.343,66.87,49.99,0.892,8:06:49 PM:246,1
179,218.55,0.350,44.17,49.97,0.577,8:06:49 PM:619,1
180,218.54,0.298,56.08,49.99,0.861,8:06:50 PM:006,1
181,218.43,0.257,46.86,49.99,0.835,8:06:50 PM:380,1
182,218.44,0.294,55.58,50.00,0.865,8:06:50 PM:754,1
183,218.28,0.390,77.87,49.99,0.915,8:06:51 PM:128,1
184,218.20,0.379,72.62,49.98,0.878,8:06:51 PM:504,1
185,218.59,0.393,73.79,49.99,0.859,8:06:51 PM:878,1
186,218.71,0.360,71.09,49.99,0.903,8:06:52 PM:255,1
187,218.52,0.761,84.38,49.99,0.507,8:06:52 PM:627,1
188,218.60,0.367,72.43,49.99,0.903,8:06:53 PM:002,1
189,218.63,0.378,73.20,50.00,0.886,8:06:53 PM:375,1
190,218.54,0.359,70.11,50.02,0.894,8:06:53 PM:750,1
191,218.49,0.335,64.91,50.01,0.887,8:06:54 PM:124,1
192,218.52,0.378,70.28,50.00,0.851,8:06:54 PM:495,1
193,218.65,0.392,78.62,49.99,0.917,8:06:54 PM:872,1
194,218.73,0.363,71.15,50.02,0.896,8:06:55 PM:248,1
195,218.57,0.370,71.72,50.00,0.887,8:06:55 PM:622,1
196,218.70,0.296,49.96,50.01,0.772,8:06:55 PM:993,1
197,218.64,0.363,68.38,50.02,0.862,8:06:56 PM:382,1
198,218.65,0.366,70.80,49.99,0.885,8:06:56 PM:757,1
199,218.83,0.275,48.16,50.02,0.800,8:06:57 PM:127,1
200,218.63,0.375,69.99,50.00,0.854,8:06:57 PM:503,1
201,218.68,0.366,70.60,50.00,0.882,8:06:57 PM:880,1
202,218.74,0.348,67.94,50.01,0.893,8:06:58 PM:252,1
203,218.58,0.360,71.00,50.01,0.902,8:06:58 PM:629,1
204,218.53,0.350,67.54,50.01,0.883,8:06:59 PM:002,1
205,218.51,0.332,64.88,50.02,0.894,8:06:59 PM:377,1
206,218.51,0.358,70.59,50.01,0.902,8:06:59 PM:749,1
207,218.56,0.315,59.33,50.01,0.862,8:07:00 PM:124,1
208,218.39,0.349,67.89,50.02,0.891,8:07:00 PM:494,1
209,218.52,0.281,50.95,50.00,0.830,8:07:00 PM:879,1
210,218.48,0.293,54.98,50.02,0.859,8:07:01 PM:251,1
211,218.37,0.240,42.11,50.01,0.803,8:07:01 PM:623,1
212,218.50,0.289,54.05,50.01,0.856,8:07:02 PM:011,1
213,218.34,0.332,61.75,50.03,0.852,8:07:02 PM:401,1
214,218.47,0.306,53.64,50.00,0.802,8:07:02 PM:789,1
215,218.48,0.369,72.73,50.01,0.902,8:07:03 PM:161,1
216,218.30,0.335,64.73,50.01,0.885,8:07:03 PM:538,1
217,218.40,0.344,66.95,50.02,0.891,8:07:03 PM:908,1
218,218.47,0.276,48.72,49.99,0.808,8:07:04 PM:281,1
219,218.47,0.351,68.72,50.02,0.896,8:07:04 PM:654,1
220,218.47,0.388,76.75,50.01,0.905,8:07:05 PM:027,1
221,218.39,0.360,70.88,50.01,0.902,8:07:05 PM:401,1
222,218.50,0.301,55.13,50.01,0.838,8:07:05 PM:789,1
223,218.62,0.312,58.91,50.01,0.864,8:07:06 PM:165,1
224,218.38,0.260,44.12,50.01,0.777,8:07:06 PM:538,1
225,218.49,0.341,66.89,50.00,0.898,8:07:06 PM:911,1
226,218.50,0.362,69.37,50.00,0.877,8:07:07 PM:288,1
227,218.40,0.336,64.10,50.01,0.873,8:07:07 PM:660,1
228,218.53,0.237,42.42,50.01,0.819,8:07:08 PM:034,1
229,218.45,0.324,62.30,50.01,0.880,8:07:08 PM:409,1
230,218.49,0.313,58.95,50.01,0.862,8:07:08 PM:783,1
231,218.40,0.364,71.20,50.01,0.896,8:07:09 PM:158,1
232,218.57,0.254,46.27,50.03,0.833,8:07:09 PM:530,1
233,218.58,0.380,75.16,49.99,0.905,8:07:09 PM:905,1
234,218.64,0.310,57.74,50.01,0.852,8:07:10 PM:277,1
235,218.57,0.356,70.32,50.02,0.904,8:07:10 PM:670,1
236,218.47,0.455,75.18,50.02,0.756,8:07:11 PM:046,1
237,218.47,0.319,61.72,50.02,0.886,8:07:11 PM:420,1
238,218.70,0.285,53.01,50.00,0.850,8:07:11 PM:808,1
239,218.76,0.381,44.51,50.01,0.534,8:07:12 PM:180,1
240,218.66,0.291,54.86,50.04,0.862,8:07:12 PM:554,1
241,218.84,0.324,61.65,49.99,0.870,8:07:12 PM:932,1
242,218.71,0.321,60.83,50.01,0.866,8:07:13 PM:307,1
243,218.57,0.325,61.43,50.00,0.865,8:07:13 PM:681,1
244,218.60,0.328,63.16,50.02,0.881,8:07:14 PM:042,1
245,218.44,0.283,50.47,50.02,0.816,8:07:14 PM:412,1
246,218.49,0.292,53.43,50.01,0.837,8:07:14 PM:788,1
247,218.54,0.635,66.11,50.02,0.476,8:07:15 PM:160,1
248,218.42,0.309,59.16,50.01,0.877,8:07:15 PM:533,1
249,218.51,0.276,50.48,50.01,0.837,8:07:15 PM:908,1
250,218.45,0.267,48.60,50.01,0.833,8:07:16 PM:282,1
251,218.41,0.334,65.19,50.02,0.894,8:07:16 PM:659,1
252,218.63,0.323,62.10,50.02,0.879,8:07:17 PM:033,1
253,218.48,0.370,61.78,50.03,0.764,8:07:17 PM:421,1
254,218.49,0.299,54.47,50.01,0.834,8:07:17 PM:794,1
255,218.66,0.357,70.31,50.00,0.901,8:07:18 PM:169,1
256,218.66,0.314,59.85,50.01,0.872,8:07:18 PM:559,1
257,218.64,0.384,76.67,50.01,0.913,8:07:18 PM:948,1
