??,??(V),??(A),??(W),??(Hz),????,??,??
1,217.93,0.198,32.29,50.01,0.748,7:50:42 PM:928,1
2,217.84,0.285,52.42,50.01,0.844,7:50:43 PM:303,1
3,217.78,0.228,39.58,50.03,0.797,7:50:43 PM:678,1
4,217.91,0.296,49.07,49.99,0.761,7:50:44 PM:053,1
5,217.94,0.373,52.74,50.01,0.649,7:50:44 PM:428,1
6,217.96,0.230,40.86,50.00,0.815,7:50:44 PM:803,1
7,217.87,0.226,39.82,49.99,0.809,7:50:45 PM:177,1
8,217.80,0.230,37.99,50.01,0.758,7:50:45 PM:552,1
9,217.93,0.280,35.24,50.01,0.577,7:50:45 PM:927,1
10,217.87,0.226,38.84,50.02,0.789,7:50:46 PM:302,1
11,217.65,0.206,35.09,49.99,0.783,7:50:46 PM:677,1
12,217.70,0.161,23.94,49.98,0.683,7:50:47 PM:145,1
13,217.68,0.215,36.30,50.01,0.776,7:50:47 PM:520,1
14,217.72,0.271,49.71,49.99,0.843,7:50:47 PM:895,1
15,217.70,0.302,57.39,50.00,0.873,7:50:48 PM:286,1
16,217.88,0.254,38.43,49.99,0.694,7:50:48 PM:676,1
17,217.83,0.242,43.13,49.99,0.818,7:50:49 PM:067,1
18,217.89,0.258,46.64,49.99,0.830,7:50:49 PM:458,1
19,217.77,0.225,37.78,49.99,0.771,7:50:49 PM:848,1
20,217.62,0.278,52.07,49.99,0.861,7:50:50 PM:223,1
21,217.92,0.202,33.51,49.99,0.761,7:50:50 PM:598,1
22,217.85,0.244,42.46,49.97,0.799,7:50:50 PM:988,1
23,217.81,0.169,25.48,49.98,0.692,7:50:51 PM:363,1
24,217.82,0.237,40.14,49.99,0.778,7:50:51 PM:738,1
25,217.88,0.284,53.24,49.99,0.860,7:50:52 PM:129,1
26,218.07,0.256,42.89,49.98,0.768,7:50:52 PM:519,1
27,218.09,0.226,36.57,49.98,0.742,7:50:52 PM:894,1
28,217.91,0.244,41.81,49.98,0.786,7:50:53 PM:269,1
29,217.97,0.293,32.04,49.96,0.502,7:50:53 PM:660,1
30,217.92,0.289,52.43,49.96,0.832,7:50:54 PM:034,1
31,217.98,0.255,38.73,49.97,0.697,7:50:54 PM:410,1
32,218.02,0.243,42.23,49.98,0.797,7:50:54 PM:784,1
33,217.85,0.205,32.19,49.96,0.721,7:50:55 PM:175,1
34,217.93,0.236,42.17,49.95,0.820,7:50:55 PM:550,1
35,218.17,0.218,37.09,49.95,0.780,7:50:55 PM:925,1
36,218.11,0.248,42.38,49.96,0.784,7:50:56 PM:315,1
37,218.13,0.298,49.63,49.98,0.763,7:50:56 PM:690,1
38,218.31,0.230,39.57,49.96,0.788,7:50:57 PM:065,1
39,218.20,0.217,36.77,49.96,0.777,7:50:57 PM:440,1
40,218.32,0.173,26.27,49.97,0.696,7:50:57 PM:830,1
41,218.19,0.233,37.08,49.97,0.729,7:50:58 PM:205,1
42,218.09,0.198,32.77,49.98,0.759,7:50:58 PM:596,1
43,218.21,0.236,39.69,49.96,0.771,7:50:58 PM:971,1
44,218.27,0.295,41.13,49.97,0.639,7:50:59 PM:361,1
45,218.23,0.292,55.05,49.98,0.864,7:50:59 PM:736,1
46,218.10,0.206,34.51,49.96,0.768,7:51:00 PM:111,1
47,218.18,0.260,42.12,49.95,0.742,7:51:00 PM:502,1
48,218.21,0.184,28.39,49.97,0.707,7:51:00 PM:892,1
49,218.21,0.232,41.27,49.97,0.815,7:51:01 PM:283,1
50,218.18,0.242,41.47,49.98,0.785,7:51:01 PM:658,1
51,218.33,0.266,36.16,49.98,0.623,7:51:02 PM:048,1
52,218.20,0.230,38.64,49.98,0.770,7:51:02 PM:423,1
53,218.07,0.245,44.12,49.96,0.826,7:51:02 PM:801,1
54,218.14,0.230,37.36,49.97,0.745,7:51:03 PM:176,1
55,218.11,0.268,39.45,49.97,0.675,7:51:03 PM:556,1
56,218.12,0.313,58.36,49.97,0.855,7:51:03 PM:946,1
57,218.24,0.262,45.04,49.99,0.788,7:51:04 PM:336,1
58,218.15,0.235,38.67,49.98,0.754,7:51:04 PM:715,1
