??,??(V),??(A),??(W),??(Hz),????,??,??
1,220.77,0.236,42.50,49.99,0.816,9:43:54 PM:454,1
2,220.73,0.261,45.87,49.99,0.796,9:43:54 PM:829,1
3,220.76,0.233,40.28,50.00,0.783,9:43:55 PM:204,1
4,220.70,0.361,51.72,50.00,0.649,9:43:55 PM:579,1
5,220.67,0.256,46.90,49.99,0.830,9:43:55 PM:954,1
6,220.66,0.296,52.60,49.99,0.805,9:43:56 PM:366,1
7,220.77,0.240,43.31,49.99,0.817,9:43:56 PM:741,1
8,220.65,0.296,51.37,50.00,0.786,9:43:57 PM:123,1
9,220.70,0.276,47.78,50.00,0.784,9:43:57 PM:498,1
10,220.69,0.264,49.19,50.00,0.844,9:43:57 PM:873,1
11,220.76,0.257,47.26,50.00,0.833,9:43:58 PM:248,1
12,220.79,0.364,49.20,50.00,0.612,9:43:58 PM:622,1
13,220.73,0.305,51.34,50.01,0.763,9:43:58 PM:997,1
14,220.71,0.303,57.06,50.00,0.853,9:43:59 PM:372,1
15,220.63,0.451,54.54,50.01,0.548,9:43:59 PM:763,1
16,220.58,0.254,45.81,50.00,0.818,9:44:00 PM:138,1
17,220.67,0.251,44.63,50.00,0.806,9:44:00 PM:512,1
18,220.62,0.225,39.16,50.00,0.789,9:44:00 PM:903,1
19,220.67,0.338,64.86,50.00,0.870,9:44:01 PM:284,1
20,220.58,0.288,55.23,50.00,0.869,9:44:01 PM:675,1
21,220.47,0.349,68.25,50.01,0.887,9:44:02 PM:069,1
22,220.51,0.304,57.87,50.02,0.863,9:44:02 PM:442,1
23,220.52,0.313,59.64,50.02,0.864,9:44:02 PM:824,1
24,220.52,0.337,66.29,50.02,0.892,9:44:03 PM:209,1
25,220.52,0.377,53.06,50.01,0.638,9:44:03 PM:606,1
26,220.33,0.271,50.82,50.01,0.851,9:44:03 PM:978,1
27,220.38,0.361,70.57,50.01,0.887,9:44:04 PM:360,1
28,220.36,0.407,78.44,50.01,0.875,9:44:04 PM:748,1
29,220.44,0.258,47.81,50.02,0.841,9:44:05 PM:128,1
30,220.52,0.279,50.79,50.03,0.825,9:44:05 PM:512,1
31,220.36,0.329,61.33,50.03,0.846,9:44:05 PM:900,1
32,220.43,0.324,62.15,50.03,0.870,9:44:06 PM:278,1
33,220.45,0.264,49.39,50.04,0.849,9:44:06 PM:659,1
34,220.34,0.304,56.44,50.02,0.843,9:44:07 PM:045,1
35,220.35,0.331,35.60,50.02,0.488,9:44:07 PM:421,1
36,220.49,0.241,42.34,50.03,0.797,9:44:07 PM:796,1
37,220.52,0.224,38.62,50.01,0.782,9:44:08 PM:176,1
38,220.65,0.210,35.88,50.02,0.774,9:44:08 PM:566,1
39,220.59,0.228,39.77,50.02,0.791,9:44:08 PM:945,1
40,220.64,0.237,38.87,50.02,0.743,9:44:09 PM:336,1
41,220.52,0.375,47.69,50.02,0.577,9:44:09 PM:712,1
42,220.53,0.302,52.50,50.01,0.788,9:44:10 PM:093,1
43,220.45,0.295,48.82,50.03,0.751,9:44:10 PM:469,1
44,220.40,0.320,50.59,50.02,0.717,9:44:10 PM:843,1
45,220.47,0.221,38.28,50.04,0.786,9:44:11 PM:219,1
46,220.45,0.280,50.52,50.03,0.819,9:44:11 PM:594,1
47,220.27,0.323,61.20,50.02,0.860,9:44:11 PM:969,1
48,220.27,0.239,35.15,50.02,0.668,9:44:12 PM:344,1
49,220.37,0.374,42.11,50.03,0.511,9:44:12 PM:717,1
50,220.39,0.260,44.99,50.02,0.785,9:44:13 PM:094,1
51,220.43,0.258,45.47,50.03,0.800,9:44:13 PM:469,1
52,220.32,0.253,45.35,50.03,0.813,9:44:13 PM:847,1
53,220.32,0.270,49.05,50.01,0.825,9:44:14 PM:223,1
54,220.34,0.210,35.72,50.02,0.772,9:44:14 PM:599,1
55,220.30,0.247,41.74,50.03,0.767,9:44:14 PM:975,1
56,220.40,0.222,38.52,50.02,0.787,9:44:15 PM:351,1
57,220.31,0.258,48.01,50.02,0.845,9:44:15 PM:728,1
58,220.29,0.304,58.64,50.02,0.876,9:44:16 PM:105,1
59,220.34,0.370,72.49,50.02,0.889,9:44:16 PM:482,1
60,220.28,0.343,67.09,50.02,0.888,9:44:16 PM:858,1
61,220.20,0.406,81.43,50.04,0.911,9:44:17 PM:235,1
62,220.14,0.355,70.17,50.02,0.898,9:44:17 PM:596,1
63,220.26,0.337,66.52,50.03,0.896,9:44:17 PM:973,1
64,220.34,0.364,72.39,50.04,0.903,9:44:18 PM:350,1
65,220.40,0.291,55.08,50.01,0.859,9:44:18 PM:727,1
66,220.19,0.313,59.40,50.02,0.862,9:44:19 PM:104,1
67,220.26,0.388,77.65,50.01,0.909,9:44:19 PM:481,1
