??,??(V),??(A),??(W),??(Hz),????,??,??
91,220.90,0.334,65.26,49.98,0.885,9:51:46 PM:740,1
92,220.98,0.334,54.41,50.00,0.737,9:51:47 PM:134,1
93,220.82,0.319,60.72,49.98,0.862,9:51:47 PM:509,1
94,220.78,0.367,73.22,49.98,0.904,9:51:47 PM:884,1
95,220.74,0.359,71.25,49.99,0.899,9:51:48 PM:262,1
96,220.82,0.332,64.94,49.97,0.886,9:51:48 PM:639,1
97,220.81,0.376,61.34,49.99,0.739,9:51:49 PM:015,1
98,220.71,0.314,60.93,49.98,0.879,9:51:49 PM:390,1
99,220.89,0.338,66.73,49.98,0.894,9:51:49 PM:764,1
100,220.97,0.319,62.10,49.99,0.881,9:51:50 PM:139,1
101,220.75,0.361,71.46,49.97,0.897,9:51:50 PM:513,1
102,220.76,0.307,59.32,49.98,0.875,9:51:50 PM:886,1
103,220.72,0.345,68.02,49.99,0.893,9:51:51 PM:261,1
104,220.55,0.281,51.71,49.99,0.834,9:51:51 PM:637,1
105,220.66,0.351,68.48,49.99,0.884,9:51:52 PM:015,1
106,220.72,0.362,72.04,24.99,0.902,9:51:52 PM:377,1
107,220.79,0.355,70.20,50.00,0.896,9:51:52 PM:754,1
108,220.82,0.321,62.71,49.98,0.885,9:51:53 PM:142,1
109,220.86,0.321,62.70,49.99,0.884,9:51:53 PM:516,1
110,220.96,0.328,64.53,49.97,0.890,9:51:53 PM:892,1
111,221.01,0.348,68.44,49.97,0.890,9:51:54 PM:265,1
112,220.93,0.321,62.26,50.00,0.878,9:51:54 PM:637,1
113,220.88,0.364,72.43,49.96,0.901,9:51:55 PM:019,1
114,220.70,0.364,72.90,49.98,0.907,9:51:55 PM:409,1
115,220.74,0.347,68.89,49.96,0.899,9:51:55 PM:785,1
116,220.91,0.315,60.49,49.99,0.869,9:51:56 PM:161,1
117,220.67,0.330,64.55,49.97,0.886,9:51:56 PM:533,1
118,220.86,0.297,56.99,49.97,0.869,9:51:56 PM:907,1
119,220.93,0.286,53.98,49.97,0.854,9:51:57 PM:280,1
120,220.94,0.313,61.02,49.99,0.882,9:51:57 PM:657,1
121,220.87,0.325,62.94,49.99,0.877,9:51:58 PM:033,1
122,221.00,0.291,54.67,49.98,0.850,9:51:58 PM:406,1
123,221.07,0.314,60.36,49.99,0.870,9:51:58 PM:779,1
