??,??(V),??(A),??(W),??(Hz),????,??,??
1,220.69,0.277,52.69,49.98,0.862,9:16:44 PM:304,1
2,220.62,0.278,36.25,49.99,0.591,9:16:44 PM:741,1
3,220.63,0.348,65.95,49.99,0.859,9:16:45 PM:116,1
4,220.65,0.272,45.97,49.99,0.766,9:16:45 PM:484,1
5,220.49,0.390,74.92,49.98,0.871,9:16:45 PM:859,1
6,220.73,0.295,54.93,49.98,0.844,9:16:46 PM:234,1
7,220.70,0.357,63.87,49.99,0.811,9:16:46 PM:620,1
8,220.63,0.492,53.82,49.99,0.496,9:16:46 PM:994,1
9,220.68,0.335,65.38,50.00,0.884,9:16:47 PM:369,1
10,220.63,0.288,54.37,49.99,0.856,9:16:47 PM:744,1
11,220.73,0.287,53.75,49.99,0.849,9:16:48 PM:119,1
12,220.70,0.236,41.67,50.01,0.800,9:16:48 PM:510,1
13,220.66,0.289,54.39,49.99,0.853,9:16:48 PM:885,1
14,220.83,0.273,51.48,49.99,0.854,9:16:49 PM:260,1
15,220.76,0.252,45.43,50.00,0.817,9:16:49 PM:634,1
16,220.85,0.213,34.32,49.99,0.730,9:16:50 PM:025,1
17,220.85,0.319,59.85,50.00,0.850,9:16:50 PM:400,1
18,220.82,0.274,47.47,50.00,0.785,9:16:50 PM:775,1
19,220.86,0.243,41.93,50.00,0.781,9:16:51 PM:150,1
20,220.76,0.278,50.92,50.01,0.830,9:16:51 PM:525,1
21,220.70,0.268,46.42,50.01,0.785,9:16:51 PM:915,1
22,220.87,0.291,54.86,49.99,0.854,9:16:52 PM:290,1
23,220.83,0.317,60.91,49.99,0.870,9:16:52 PM:665,1
24,220.83,0.203,33.57,50.01,0.749,9:16:53 PM:040,1
25,220.82,0.273,44.66,50.01,0.741,9:16:53 PM:415,1
26,220.89,0.307,46.15,50.01,0.681,9:16:53 PM:790,1
27,220.92,0.278,52.07,50.01,0.848,9:16:54 PM:165,1
28,220.88,0.229,40.96,49.99,0.810,9:16:54 PM:539,1
29,220.73,0.275,51.61,50.01,0.850,9:16:54 PM:915,1
30,220.68,0.322,63.18,50.01,0.889,9:16:55 PM:289,1
31,220.76,0.326,58.35,50.03,0.811,9:16:55 PM:664,1
32,220.72,0.355,70.28,50.02,0.897,9:16:56 PM:039,1
33,220.80,0.272,46.71,50.01,0.778,9:16:56 PM:414,1
34,220.84,0.252,43.97,50.03,0.790,9:16:56 PM:805,1
35,220.80,0.452,91.78,50.01,0.920,9:16:57 PM:195,1
36,220.98,0.185,30.31,50.02,0.741,9:16:57 PM:601,1
37,220.93,0.257,42.79,50.02,0.754,9:16:57 PM:976,1
38,220.84,0.331,60.30,50.02,0.825,9:16:58 PM:367,1
39,220.74,0.324,63.14,50.03,0.883,9:16:58 PM:757,1
40,220.81,0.333,65.08,50.04,0.885,9:16:59 PM:132,1
41,220.77,0.354,69.73,50.03,0.892,9:16:59 PM:523,1
42,220.65,0.306,57.51,50.03,0.852,9:16:59 PM:913,1
43,220.75,0.299,48.98,50.02,0.742,9:17:00 PM:288,1
44,220.70,0.313,58.19,50.03,0.842,9:17:00 PM:663,1
45,220.72,0.326,63.04,50.02,0.876,9:17:01 PM:038,1
46,220.77,0.357,70.83,50.04,0.899,9:17:01 PM:428,1
47,220.74,0.328,63.88,50.03,0.882,9:17:01 PM:819,1
48,220.91,0.307,57.91,50.02,0.854,9:17:02 PM:194,1
49,220.99,0.303,51.31,50.03,0.766,9:17:02 PM:584,1
50,220.90,0.257,47.55,50.05,0.838,9:17:02 PM:975,1
51,220.94,0.190,31.63,50.03,0.754,9:17:03 PM:350,1
52,220.93,0.196,31.80,50.04,0.734,9:17:03 PM:725,1
53,220.89,0.306,57.56,50.04,0.852,9:17:04 PM:115,1
54,220.92,0.286,53.45,50.05,0.846,9:17:04 PM:490,1
55,220.76,0.276,51.84,50.03,0.851,9:17:04 PM:865,1
56,220.81,0.322,62.17,50.03,0.874,9:17:05 PM:240,1
57,220.67,0.319,61.66,50.04,0.876,9:17:05 PM:631,1
58,220.72,0.299,56.24,50.07,0.852,9:17:06 PM:021,1
59,220.80,0.335,65.95,50.04,0.892,9:17:06 PM:396,1
60,220.65,0.210,33.54,50.04,0.724,9:17:06 PM:787,1
61,220.71,0.268,39.99,50.05,0.676,9:17:07 PM:161,1
62,220.70,0.261,38.65,50.03,0.671,9:17:07 PM:583,1
63,220.66,0.213,34.23,50.03,0.728,9:17:07 PM:958,1
64,220.65,0.285,45.80,50.05,0.728,9:17:08 PM:349,1
65,220.57,0.192,30.62,50.02,0.723,9:17:08 PM:724,1
66,220.56,0.311,59.98,50.03,0.874,9:17:09 PM:114,1
67,220.61,0.319,61.25,50.04,0.870,9:17:09 PM:489,1
68,220.61,0.228,39.18,50.05,0.779,9:17:09 PM:864,1
69,220.71,0.302,55.02,50.05,0.825,9:17:10 PM:249,1
70,220.64,0.283,53.70,50.04,0.860,9:17:10 PM:640,1
71,220.65,0.294,54.74,50.04,0.844,9:17:11 PM:015,1
72,220.69,0.371,73.85,50.04,0.902,9:17:11 PM:405,1
73,220.59,0.338,64.92,50.03,0.871,9:17:11 PM:780,1
74,220.69,0.334,65.39,50.03,0.887,9:17:12 PM:171,1
75,220.77,0.348,68.13,50.03,0.887,9:17:12 PM:561,1
76,220.66,0.289,54.75,50.03,0.859,9:17:12 PM:936,1
77,220.79,0.269,48.65,50.03,0.819,9:17:13 PM:311,1
78,220.84,0.251,45.42,50.02,0.819,9:17:13 PM:686,1
79,220.61,0.295,51.80,50.03,0.796,9:17:14 PM:077,1
80,220.62,0.388,48.13,50.02,0.562,9:17:14 PM:452,1
81,220.59,0.276,40.62,50.01,0.667,9:17:14 PM:827,1
82,220.81,0.345,32.20,50.02,0.423,9:17:15 PM:217,1
83,220.62,0.260,44.20,50.01,0.770,9:17:15 PM:592,1
84,220.68,0.222,37.77,50.03,0.771,9:17:15 PM:967,1
85,220.75,0.243,42.86,50.02,0.799,9:17:16 PM:342,1
86,220.56,0.217,35.98,50.02,0.752,9:17:16 PM:717,1
87,220.55,0.245,40.40,50.02,0.748,9:17:17 PM:107,1
88,220.66,0.201,31.96,50.03,0.721,9:17:17 PM:498,1
89,220.55,0.293,41.60,50.00,0.644,9:17:17 PM:873,1
90,220.66,0.226,37.36,50.02,0.749,9:17:18 PM:248,1
91,220.60,0.223,38.48,50.04,0.782,9:17:18 PM:623,1
92,220.52,0.214,36.00,50.01,0.763,9:17:18 PM:998,1
93,220.67,0.227,39.94,50.01,0.797,9:17:19 PM:373,1
94,220.51,0.266,45.26,50.01,0.772,9:17:19 PM:763,1
95,220.65,0.256,38.53,50.01,0.682,9:17:20 PM:138,1
96,220.63,0.222,39.33,50.00,0.803,9:17:20 PM:513,1
97,220.43,0.260,47.71,50.00,0.833,9:17:20 PM:888,1
98,220.73,0.214,34.50,50.00,0.730,9:17:21 PM:262,1
99,220.70,0.238,42.05,50.01,0.801,9:17:21 PM:653,1
100,220.54,0.215,36.92,50.00,0.779,9:17:22 PM:028,1
101,220.65,0.264,49.09,49.99,0.843,9:17:22 PM:418,1
102,220.52,0.228,40.27,50.01,0.801,9:17:22 PM:794,1
103,220.61,0.274,47.48,50.01,0.786,9:17:23 PM:168,1
104,220.88,0.206,31.93,49.99,0.702,9:17:23 PM:543,1
105,220.68,0.222,38.52,50.01,0.786,9:17:23 PM:918,1
106,220.78,0.319,55.91,49.98,0.794,9:17:24 PM:293,1
107,220.74,0.256,45.97,49.98,0.814,9:17:24 PM:668,1
108,220.58,0.286,53.25,49.99,0.844,9:17:25 PM:043,1
109,220.68,0.436,56.89,49.99,0.591,9:17:25 PM:433,1
110,220.32,0.302,57.80,49.98,0.869,9:17:25 PM:809,1
111,220.45,0.266,48.58,49.99,0.828,9:17:26 PM:183,1
112,220.61,0.225,40.01,49.99,0.806,9:17:26 PM:574,1
113,220.50,0.192,31.53,49.99,0.745,9:17:26 PM:949,1
114,220.58,0.244,42.67,49.98,0.793,9:17:27 PM:324,1
115,220.69,0.216,34.10,49.99,0.715,9:17:27 PM:698,1
116,220.69,0.253,45.09,49.98,0.808,9:17:28 PM:074,1
117,220.76,0.220,38.66,49.99,0.796,9:17:28 PM:449,1
118,220.67,0.280,51.48,49.98,0.833,9:17:28 PM:823,1
119,220.78,0.306,59.24,49.98,0.877,9:17:29 PM:214,1
120,220.74,0.338,66.17,49.98,0.887,9:17:29 PM:589,1
121,220.68,0.304,58.92,49.98,0.878,9:17:29 PM:979,1
122,220.75,0.290,55.63,49.98,0.869,9:17:30 PM:354,1
123,220.48,0.299,57.37,49.97,0.870,9:17:30 PM:745,1
