??,??(V),??(A),??(W),??(Hz),????,??,??
1,218.58,0.325,62.53,49.98,0.880,8:18:01 PM:894,1
2,218.57,0.357,68.19,49.97,0.874,8:18:02 PM:263,1
3,218.63,0.300,57.28,49.97,0.873,8:18:02 PM:618,1
4,218.60,0.327,62.92,49.97,0.880,8:18:02 PM:977,1
5,218.76,0.348,68.11,49.98,0.895,8:18:03 PM:353,1
6,218.74,0.367,72.03,49.97,0.897,8:18:03 PM:788,1
7,218.79,0.332,62.27,49.97,0.857,8:18:04 PM:161,1
8,218.81,0.363,70.85,49.98,0.892,8:18:04 PM:536,1
9,218.67,0.409,72.92,49.98,0.815,8:18:04 PM:908,1
10,218.81,0.338,65.73,49.97,0.889,8:18:05 PM:284,1
11,218.67,0.353,66.97,49.97,0.868,8:18:05 PM:657,1
12,218.72,0.326,63.29,49.96,0.888,8:18:06 PM:041,1
13,218.70,0.342,66.25,49.98,0.886,8:18:06 PM:412,1
14,218.71,0.319,61.90,49.98,0.887,8:18:06 PM:786,1
15,218.67,0.355,69.40,49.97,0.894,8:18:07 PM:160,1
16,218.62,0.316,59.97,49.97,0.868,8:18:07 PM:534,1
17,218.63,0.329,63.31,49.97,0.880,8:18:07 PM:907,1
18,218.63,0.296,56.26,49.97,0.869,8:18:08 PM:294,1
19,218.59,0.342,66.58,49.97,0.891,8:18:08 PM:666,1
20,218.62,0.274,50.82,49.98,0.848,8:18:09 PM:041,1
21,218.52,0.320,60.63,49.98,0.867,8:18:09 PM:415,1
22,218.62,0.254,45.40,49.98,0.818,8:18:09 PM:789,1
23,218.71,0.265,48.86,49.97,0.843,8:18:10 PM:162,1
24,218.72,0.262,46.72,49.98,0.815,8:18:10 PM:536,1
25,218.69,0.315,59.10,49.97,0.858,8:18:10 PM:926,1
26,218.82,0.330,64.54,49.98,0.894,8:18:11 PM:312,1
27,218.73,0.303,56.51,49.98,0.853,8:18:11 PM:685,1
28,218.84,0.258,47.38,49.97,0.839,8:18:12 PM:060,1
29,218.75,0.293,53.91,49.98,0.841,8:18:12 PM:430,1
30,218.78,0.250,45.65,49.98,0.835,8:18:12 PM:806,1
31,218.83,0.284,51.52,49.97,0.829,8:18:13 PM:179,1
32,218.77,0.296,56.30,49.98,0.869,8:18:13 PM:554,1
33,218.71,0.299,56.34,49.98,0.862,8:18:13 PM:928,1
34,218.74,0.274,49.84,49.99,0.832,8:18:14 PM:303,1
35,218.86,0.288,53.11,49.97,0.843,8:18:14 PM:674,1
36,218.93,0.276,50.33,49.98,0.833,8:18:15 PM:048,1
37,218.85,0.270,49.72,49.98,0.841,8:18:15 PM:423,1
38,218.90,0.298,56.35,49.98,0.864,8:18:15 PM:811,1
39,218.95,0.307,57.61,49.98,0.857,8:18:16 PM:183,1
40,219.02,0.238,42.49,49.98,0.815,8:18:16 PM:558,1
41,219.02,0.296,54.26,49.98,0.837,8:18:16 PM:930,1
42,219.05,0.281,52.72,49.98,0.856,8:18:17 PM:300,1
43,218.84,0.286,52.80,49.98,0.844,8:18:17 PM:687,1
44,218.96,0.260,46.04,49.98,0.809,8:18:18 PM:059,1
45,218.94,0.334,64.33,49.99,0.880,8:18:18 PM:430,1
46,218.84,0.286,52.20,49.99,0.834,8:18:18 PM:803,1
47,218.86,0.279,52.50,49.99,0.860,8:18:19 PM:175,1
48,218.72,0.365,72.46,49.99,0.908,8:18:19 PM:561,1
49,218.67,0.417,83.45,49.98,0.915,8:18:19 PM:934,1
50,218.87,0.342,53.62,49.99,0.716,8:18:20 PM:310,1
51,218.92,0.285,53.10,49.98,0.851,8:18:20 PM:679,1
52,218.96,0.282,52.60,49.97,0.852,8:18:21 PM:052,1
53,218.96,0.302,56.09,49.98,0.848,8:18:21 PM:427,1
54,218.80,0.419,60.40,49.99,0.659,8:18:21 PM:801,1
55,218.81,0.282,51.39,49.99,0.833,8:18:22 PM:176,1
56,218.58,0.277,51.65,49.97,0.853,8:18:22 PM:548,1
57,218.57,0.284,53.12,49.98,0.856,8:18:22 PM:939,1
58,218.66,0.302,56.90,49.99,0.862,8:18:23 PM:326,1
59,218.55,0.293,53.68,49.99,0.838,8:18:23 PM:699,1
60,218.60,0.321,61.91,49.98,0.882,8:18:24 PM:071,1
61,218.57,0.290,54.61,49.99,0.862,8:18:24 PM:442,1
62,218.65,0.278,51.89,49.99,0.854,8:18:24 PM:815,1
63,218.69,0.341,66.84,49.98,0.896,8:18:25 PM:204,1
64,218.68,0.276,51.57,49.98,0.854,8:18:25 PM:577,1
65,218.62,0.313,59.65,49.97,0.872,8:18:25 PM:948,1
66,218.65,0.287,53.19,49.98,0.848,8:18:26 PM:323,1
67,218.68,0.296,56.21,49.98,0.868,8:18:26 PM:694,1
68,218.89,0.263,46.54,49.97,0.808,8:18:27 PM:081,1
69,218.83,0.300,56.82,49.99,0.866,8:18:27 PM:454,1
70,218.62,0.271,49.17,49.98,0.830,8:18:27 PM:829,1
71,218.86,0.277,51.37,49.97,0.847,8:18:28 PM:202,1
72,218.74,0.282,52.39,49.97,0.849,8:18:28 PM:577,1
73,218.73,0.290,53.81,49.97,0.848,8:18:28 PM:939,1
74,218.95,0.252,45.61,49.98,0.827,8:18:29 PM:311,1
75,218.88,0.370,63.33,49.99,0.782,8:18:29 PM:686,1
76,218.98,0.275,51.11,49.99,0.849,8:18:30 PM:057,1
77,219.10,0.307,57.93,49.98,0.861,8:18:30 PM:429,1
78,218.86,0.313,59.80,49.99,0.873,8:18:30 PM:803,1
79,218.99,0.304,56.71,49.98,0.852,8:18:31 PM:176,1
80,218.89,0.321,61.51,49.99,0.875,8:18:31 PM:561,1
81,218.83,0.271,49.83,49.98,0.840,8:18:31 PM:933,1
82,218.92,0.247,43.61,49.99,0.806,8:18:32 PM:305,1
83,218.78,0.348,66.30,49.99,0.871,8:18:32 PM:681,1
84,218.68,0.303,42.35,49.98,0.639,8:18:33 PM:055,1
85,218.70,0.280,49.97,49.98,0.816,8:18:33 PM:427,1
86,218.65,0.287,54.16,49.99,0.863,8:18:33 PM:799,1
87,218.89,0.275,51.23,49.98,0.851,8:18:34 PM:170,1
88,218.76,0.259,46.17,49.99,0.815,8:18:34 PM:543,1
89,218.70,0.305,55.90,49.99,0.838,8:18:34 PM:911,1
90,218.84,0.277,51.18,49.99,0.844,8:18:35 PM:286,1
91,218.73,0.289,54.27,49.99,0.858,8:18:35 PM:663,1
92,218.69,0.271,50.55,49.99,0.853,8:18:36 PM:034,1
93,218.73,0.294,53.98,49.99,0.839,8:18:36 PM:422,1
94,218.57,0.406,57.99,49.97,0.654,8:18:36 PM:798,1
95,218.58,0.358,49.29,50.00,0.630,8:18:37 PM:170,1
96,218.63,0.264,48.56,49.99,0.841,8:18:37 PM:543,1
97,218.60,0.323,61.85,49.98,0.876,8:18:37 PM:915,1
98,218.84,0.266,48.04,49.99,0.825,8:18:38 PM:301,1
99,218.69,0.311,59.91,49.99,0.881,8:18:38 PM:689,1
100,218.56,0.318,61.25,49.99,0.881,8:18:39 PM:063,1
101,218.52,0.313,59.55,49.99,0.871,8:18:39 PM:435,1
102,218.49,0.348,67.48,49.99,0.887,8:18:39 PM:807,1
103,218.59,0.371,72.61,50.00,0.895,8:18:40 PM:180,1
104,218.62,0.254,45.72,50.01,0.823,8:18:40 PM:553,1
105,218.46,0.317,61.16,49.99,0.883,8:18:40 PM:939,1
106,218.67,0.291,55.38,49.99,0.870,8:18:41 PM:313,1
107,218.63,0.310,58.74,49.99,0.867,8:18:41 PM:687,1
108,218.55,0.361,70.51,50.00,0.894,8:18:42 PM:060,1
