??,??(V),??(A),??(W),??(Hz),????,??,??
1,217.90,0.280,52.80,50.00,0.865,7:58:53 PM:577,1
2,217.72,0.316,60.63,50.00,0.881,7:58:53 PM:959,1
3,217.95,0.288,54.30,49.99,0.865,7:58:54 PM:334,1
4,217.96,0.308,59.15,49.99,0.881,7:58:54 PM:709,1
5,217.92,0.286,53.40,49.99,0.857,7:58:55 PM:079,1
6,217.85,0.315,60.62,49.99,0.883,7:58:55 PM:444,1
7,217.78,0.284,53.59,49.97,0.866,7:58:55 PM:809,1
8,217.75,0.291,54.72,49.99,0.864,7:58:56 PM:184,1
9,217.67,0.296,56.14,49.99,0.871,7:58:56 PM:561,1
10,217.68,0.295,55.84,49.99,0.870,7:58:56 PM:936,1
11,217.73,0.305,57.62,50.01,0.868,7:58:57 PM:309,1
12,217.82,0.277,51.49,49.98,0.853,7:58:57 PM:695,1
13,217.69,0.256,46.42,49.99,0.833,7:58:58 PM:085,1
14,217.71,0.248,44.67,49.98,0.827,7:58:58 PM:464,1
15,217.83,0.196,30.85,49.99,0.723,7:58:58 PM:855,1
16,217.85,0.213,36.80,49.99,0.793,7:58:59 PM:230,1
17,217.52,0.304,56.60,49.99,0.856,7:58:59 PM:608,1
18,217.62,0.304,57.94,50.00,0.876,7:58:59 PM:997,1
19,217.79,0.318,60.98,49.99,0.881,7:59:00 PM:388,1
20,217.61,0.308,59.20,49.97,0.883,7:59:00 PM:768,1
21,217.71,0.328,63.37,49.99,0.887,7:59:01 PM:159,1
22,217.68,0.301,57.11,49.98,0.872,7:59:01 PM:549,1
23,217.60,0.294,55.64,49.98,0.870,7:59:01 PM:940,1
24,217.59,0.296,56.10,49.99,0.871,7:59:02 PM:330,1
25,217.59,0.362,71.00,49.98,0.901,7:59:02 PM:719,1
26,217.75,0.303,57.75,49.99,0.875,7:59:03 PM:093,1
27,217.62,0.347,67.85,49.99,0.899,7:59:03 PM:484,1
28,217.64,0.356,69.47,49.99,0.897,7:59:03 PM:865,1
29,217.69,0.336,65.31,49.98,0.893,7:59:04 PM:255,1
30,217.60,0.260,45.81,49.99,0.810,7:59:04 PM:636,1
31,217.83,0.279,52.23,49.97,0.859,7:59:05 PM:036,1
32,217.79,0.344,66.65,49.99,0.890,7:59:05 PM:418,1
33,217.71,0.281,52.45,50.00,0.857,7:59:05 PM:798,1
34,217.71,0.359,70.44,49.99,0.901,7:59:06 PM:190,1
35,217.91,0.315,60.75,49.98,0.885,7:59:06 PM:561,1
36,217.83,0.326,63.17,49.99,0.890,7:59:06 PM:950,1
37,217.91,0.406,80.48,49.98,0.910,7:59:07 PM:344,1
38,217.94,0.310,58.34,49.99,0.864,7:59:07 PM:720,1
39,217.95,0.295,55.99,49.96,0.871,7:59:08 PM:090,1
40,217.93,0.308,58.26,49.99,0.868,7:59:08 PM:474,1
41,217.88,0.297,55.74,49.99,0.861,7:59:08 PM:852,1
42,217.94,0.315,60.55,49.98,0.882,7:59:09 PM:228,1
43,217.79,0.225,37.73,49.98,0.770,7:59:09 PM:604,1
44,217.81,0.283,50.01,49.97,0.811,7:59:09 PM:979,1
45,218.04,0.494,61.89,49.98,0.575,7:59:10 PM:369,1
46,217.96,0.341,61.32,49.98,0.825,7:59:10 PM:732,1
47,217.89,0.373,71.87,49.99,0.884,7:59:11 PM:117,1
48,217.91,0.343,66.42,49.99,0.889,7:59:11 PM:494,1
49,217.97,0.306,58.50,49.97,0.877,7:59:11 PM:865,1
50,217.87,0.321,62.01,49.98,0.887,7:59:12 PM:247,1
51,217.82,0.312,59.49,49.98,0.875,7:59:12 PM:637,1
52,217.81,0.286,53.75,49.98,0.863,7:59:13 PM:019,1
53,217.71,0.303,57.70,49.99,0.875,7:59:13 PM:405,1
54,217.77,0.280,52.57,49.99,0.862,7:59:13 PM:780,1
55,217.72,0.353,69.15,49.96,0.900,7:59:14 PM:171,1
56,217.76,0.361,71.40,49.99,0.908,7:59:14 PM:563,1
57,217.72,0.359,70.31,49.98,0.899,7:59:14 PM:947,1
58,217.91,0.331,64.26,49.99,0.891,7:59:15 PM:338,1
59,217.81,0.336,64.61,49.98,0.883,7:59:15 PM:728,1
60,217.83,0.367,72.64,50.00,0.909,7:59:16 PM:117,1
61,217.88,0.406,80.99,49.97,0.916,7:59:16 PM:501,1
62,217.97,0.298,56.26,49.98,0.866,7:59:16 PM:876,1
63,218.02,0.241,42.04,49.98,0.800,7:59:17 PM:251,1
64,217.96,0.229,40.03,49.99,0.802,7:59:17 PM:642,1
65,217.96,0.307,56.75,49.99,0.848,7:59:18 PM:032,1
66,217.99,0.318,60.56,50.01,0.874,7:59:18 PM:423,1
67,217.99,0.358,53.13,49.98,0.681,7:59:18 PM:798,1
