??,??(V),??(A),??(W),??(Hz),????,??,??
1,218.21,0.280,51.48,49.97,0.843,8:12:16 PM:010,1
2,218.17,0.280,48.71,49.98,0.797,8:12:16 PM:374,1
3,218.10,0.308,58.43,49.95,0.870,8:12:16 PM:748,1
4,218.24,0.300,57.29,49.96,0.875,8:12:17 PM:105,1
5,218.23,0.279,51.66,49.95,0.848,8:12:17 PM:462,1
6,218.26,0.297,56.71,49.98,0.875,8:12:17 PM:821,1
7,218.50,0.303,56.72,49.96,0.857,8:12:18 PM:193,1
8,218.33,0.234,41.38,49.97,0.810,8:12:18 PM:568,1
9,218.30,0.268,49.28,49.97,0.842,8:12:18 PM:938,1
10,218.29,0.264,47.62,49.97,0.826,8:12:19 PM:311,1
11,218.19,0.273,49.74,49.99,0.835,8:12:19 PM:681,1
12,218.31,0.246,43.50,49.97,0.810,8:12:20 PM:055,1
13,218.22,0.264,46.63,49.97,0.809,8:12:20 PM:429,1
14,218.17,0.257,46.04,49.97,0.821,8:12:20 PM:802,1
15,218.10,0.321,61.89,49.97,0.884,8:12:21 PM:174,1
16,217.97,0.255,46.42,49.98,0.835,8:12:21 PM:560,1
17,217.97,0.273,49.00,49.97,0.823,8:12:21 PM:933,1
18,217.95,0.240,42.52,49.98,0.813,8:12:22 PM:307,1
19,217.87,0.273,50.25,49.97,0.845,8:12:22 PM:676,1
20,218.06,0.251,45.77,49.97,0.836,8:12:23 PM:061,1
21,218.16,0.286,51.60,49.98,0.827,8:12:23 PM:432,1
22,218.14,0.241,43.55,49.99,0.828,8:12:23 PM:803,1
23,218.05,0.304,55.67,49.98,0.840,8:12:24 PM:177,1
24,217.99,0.264,47.77,49.96,0.830,8:12:24 PM:549,1
25,217.93,0.262,47.72,49.97,0.836,8:12:24 PM:922,1
26,217.80,0.233,40.92,49.97,0.806,8:12:25 PM:311,1
27,217.81,0.299,54.61,49.97,0.839,8:12:25 PM:685,1
28,218.16,0.250,44.11,49.99,0.809,8:12:26 PM:058,1
