??,??(V),??(A),??(W),??(Hz),????,??,??
91,219.38,0.225,38.34,50.04,0.777,7:29:43 PM:860,1
92,219.46,0.228,40.52,50.05,0.810,7:29:44 PM:228,1
93,219.32,0.211,35.06,50.04,0.758,7:29:44 PM:599,1
94,219.39,0.208,35.10,50.04,0.769,7:29:44 PM:979,1
95,219.29,0.228,37.79,50.05,0.756,7:29:45 PM:362,1
96,219.40,0.190,31.12,50.04,0.747,7:29:45 PM:747,1
97,219.31,0.230,36.75,50.04,0.729,7:29:46 PM:129,1
98,219.11,0.414,75.91,50.03,0.837,7:29:47 PM:831,1
99,219.17,0.288,54.81,50.05,0.868,7:29:48 PM:232,1
100,219.39,0.201,34.08,50.04,0.773,7:29:48 PM:731,1
101,219.31,0.336,64.39,50.04,0.874,7:29:49 PM:123,1
102,219.10,0.236,41.00,50.03,0.793,7:29:49 PM:515,1
103,219.15,0.299,56.58,50.03,0.863,7:29:49 PM:885,1
104,219.13,0.230,39.46,50.05,0.783,7:29:50 PM:277,1
105,219.10,0.243,40.64,50.04,0.763,7:29:50 PM:650,1
106,219.40,0.302,57.59,50.04,0.869,7:29:51 PM:709,1
107,219.48,0.361,70.83,50.05,0.894,7:29:52 PM:103,1
108,219.41,0.313,59.98,50.04,0.873,7:29:52 PM:486,1
109,219.39,0.310,60.12,50.06,0.884,7:29:52 PM:853,1
110,219.33,0.291,41.98,50.05,0.658,7:29:53 PM:236,1
111,219.20,0.345,64.15,50.04,0.848,7:29:53 PM:619,1
112,219.33,0.253,45.70,50.05,0.824,7:29:54 PM:003,1
113,219.31,0.276,51.45,50.06,0.850,7:29:54 PM:381,1
114,219.34,0.216,34.41,50.03,0.726,7:29:54 PM:771,1
115,219.29,0.233,39.90,50.04,0.781,7:29:55 PM:162,1
116,219.34,0.211,36.03,50.05,0.779,7:29:55 PM:537,1
117,219.39,0.251,43.45,50.04,0.789,7:29:55 PM:927,1
118,219.35,0.255,42.41,50.05,0.758,7:29:56 PM:318,1
119,219.41,0.248,44.94,50.05,0.826,7:29:56 PM:708,1
120,219.34,0.242,42.66,50.04,0.804,7:29:57 PM:099,1
121,219.24,0.205,33.41,50.04,0.743,7:29:57 PM:489,1
122,219.19,0.226,37.23,50.02,0.752,7:29:57 PM:865,1
123,219.14,0.263,46.52,50.03,0.807,7:29:58 PM:239,1
124,219.22,0.261,46.58,50.03,0.814,7:29:58 PM:630,1
125,219.22,0.341,62.16,50.04,0.831,7:29:59 PM:021,1
126,219.24,0.324,61.07,50.04,0.860,7:29:59 PM:408,1
127,219.06,0.344,67.09,50.03,0.890,7:29:59 PM:774,1
128,219.09,0.335,64.75,50.04,0.882,7:30:00 PM:159,1
129,219.24,0.267,48.47,50.04,0.828,7:30:00 PM:541,1
130,219.30,0.314,59.56,50.03,0.865,7:30:00 PM:920,1
131,219.24,0.293,54.48,50.04,0.848,7:30:01 PM:293,1
132,219.38,0.386,76.10,50.06,0.899,7:30:01 PM:662,1
133,219.16,0.381,75.66,50.02,0.906,7:30:02 PM:045,1
134,219.24,0.349,66.15,50.04,0.865,7:30:02 PM:427,1
135,219.32,0.334,64.68,50.03,0.883,7:30:02 PM:811,1
136,219.18,0.333,64.03,50.04,0.877,7:30:03 PM:185,1
137,219.11,0.359,70.07,50.04,0.891,7:30:03 PM:562,1
138,219.27,0.386,77.40,50.04,0.914,7:30:03 PM:939,1
139,219.34,0.433,87.56,50.04,0.922,7:30:04 PM:315,1
140,219.42,0.338,65.38,50.05,0.882,7:30:04 PM:690,1
141,219.39,0.279,52.06,50.03,0.851,7:30:05 PM:079,1
142,219.43,0.299,54.90,50.03,0.837,7:30:05 PM:452,1
143,219.56,0.209,34.29,50.04,0.747,7:30:05 PM:822,1
144,219.62,0.231,39.81,50.04,0.785,7:30:06 PM:196,1
145,219.59,0.280,36.61,50.04,0.595,7:30:06 PM:568,1
146,219.53,0.351,58.02,50.05,0.753,7:30:06 PM:961,1
147,219.39,0.367,70.93,50.05,0.881,7:30:07 PM:337,1
148,219.40,0.385,68.55,50.06,0.812,7:30:07 PM:716,1
149,219.39,0.368,61.08,50.05,0.757,7:30:08 PM:106,1
150,219.31,0.212,35.50,50.04,0.764,7:30:08 PM:497,1
151,219.27,0.290,54.52,50.05,0.857,7:30:08 PM:887,1
152,219.36,0.292,55.86,50.05,0.872,7:30:09 PM:278,1
153,219.42,0.270,50.41,50.04,0.851,7:30:09 PM:653,1
154,219.28,0.285,53.14,50.05,0.850,7:30:10 PM:044,1
155,219.47,0.230,39.19,50.03,0.776,7:30:10 PM:434,1
156,219.17,0.342,65.26,50.04,0.871,7:30:10 PM:823,1
157,219.27,0.304,58.25,50.05,0.874,7:30:11 PM:200,1
158,219.48,0.249,36.54,50.05,0.669,7:30:11 PM:590,1
159,219.45,0.254,44.95,50.03,0.806,7:30:11 PM:971,1
160,219.36,0.215,35.96,50.03,0.763,7:30:12 PM:347,1
161,219.36,0.197,32.12,50.04,0.743,7:30:12 PM:736,1
162,219.22,0.321,48.44,50.04,0.688,7:30:13 PM:113,1
163,219.31,0.183,29.18,50.02,0.727,7:30:13 PM:489,1
164,219.29,0.209,34.87,50.03,0.761,7:30:13 PM:869,1
165,219.22,0.298,57.15,50.03,0.875,7:30:14 PM:239,1
166,219.32,0.235,40.38,50.03,0.783,7:30:14 PM:621,1
167,219.16,0.174,26.80,50.04,0.703,7:30:15 PM:012,1
168,219.22,0.226,38.84,50.03,0.784,7:30:15 PM:391,1
169,219.32,0.192,31.25,50.04,0.742,7:30:15 PM:766,1
170,219.28,0.229,36.72,50.03,0.731,7:30:16 PM:130,1
171,219.34,0.185,28.72,50.03,0.708,7:30:16 PM:517,1
172,219.39,0.215,36.91,50.03,0.782,7:30:16 PM:901,1
173,219.39,0.209,32.92,50.03,0.718,7:30:17 PM:290,1
174,219.40,0.319,43.30,50.02,0.619,7:30:17 PM:664,1
175,219.60,0.203,32.04,50.03,0.719,7:30:18 PM:038,1
176,219.54,0.220,38.57,50.01,0.799,7:30:18 PM:413,1
177,219.52,0.194,32.18,50.03,0.756,7:30:18 PM:787,1
178,219.51,0.250,38.96,50.02,0.710,7:30:19 PM:160,1
179,219.46,0.205,31.22,50.01,0.694,7:30:19 PM:535,1
180,219.33,0.230,38.78,50.03,0.769,7:30:19 PM:910,1
181,219.38,0.214,35.38,50.02,0.754,7:30:20 PM:303,1
182,219.50,0.212,35.39,50.02,0.761,7:30:20 PM:686,1
183,219.53,0.217,34.17,50.00,0.717,7:30:21 PM:060,1
184,219.53,0.222,36.86,50.00,0.756,7:30:21 PM:433,1
185,219.68,0.190,30.68,50.02,0.735,7:30:21 PM:807,1
186,219.67,0.213,36.54,50.00,0.781,7:30:22 PM:184,1
187,219.64,0.199,31.18,50.01,0.713,7:30:22 PM:557,1
188,219.68,0.209,34.54,50.01,0.752,7:30:22 PM:930,1
189,219.62,0.223,38.80,50.01,0.792,7:30:23 PM:304,1
190,219.55,0.211,35.33,50.02,0.763,7:30:23 PM:675,1
191,219.72,0.225,35.28,50.03,0.714,7:30:24 PM:064,1
192,219.58,0.221,36.23,50.01,0.747,7:30:24 PM:438,1
193,219.52,0.191,31.13,50.01,0.742,7:30:24 PM:811,1
194,219.40,0.214,37.15,50.02,0.791,7:30:25 PM:187,1
195,219.50,0.222,35.38,50.01,0.726,7:30:25 PM:562,1
196,219.50,0.221,36.45,50.01,0.751,7:30:25 PM:936,1
197,219.51,0.201,31.12,50.01,0.705,7:30:26 PM:309,1
198,219.62,0.209,36.07,50.01,0.786,7:30:26 PM:682,1
199,219.52,0.207,34.68,50.02,0.763,7:30:27 PM:054,1
200,219.48,0.234,40.51,50.01,0.789,7:30:27 PM:429,1
201,219.23,0.408,58.69,50.01,0.656,7:30:27 PM:803,1
202,219.21,0.356,44.26,49.99,0.567,7:30:28 PM:176,1
203,219.07,0.312,59.86,50.01,0.876,7:30:28 PM:568,1
204,219.06,0.224,37.04,50.01,0.755,7:30:28 PM:941,1
205,219.18,0.296,56.20,49.98,0.866,7:30:29 PM:316,1
206,219.18,0.300,51.38,49.99,0.781,7:30:29 PM:704,1
207,219.15,0.224,38.51,50.00,0.785,7:30:30 PM:077,1
208,219.08,0.322,48.57,50.01,0.689,7:30:30 PM:452,1
209,219.17,0.309,58.84,50.00,0.869,7:30:30 PM:823,1
210,219.15,0.219,35.19,50.00,0.733,7:30:31 PM:199,1
211,219.31,0.391,44.17,49.99,0.515,7:30:31 PM:572,1
212,219.41,0.247,45.21,49.99,0.834,7:30:31 PM:946,1
213,219.14,0.358,68.10,49.99,0.868,7:30:32 PM:320,1
214,219.06,0.365,72.19,49.99,0.903,7:30:32 PM:710,1
215,219.11,0.316,52.35,49.99,0.756,7:30:33 PM:083,1
216,219.04,0.343,37.40,49.99,0.498,7:30:33 PM:456,1
217,218.96,0.226,37.32,49.98,0.754,7:30:33 PM:832,1
218,219.06,0.290,44.52,49.99,0.701,7:30:34 PM:209,1
219,218.99,0.231,38.64,49.99,0.764,7:30:34 PM:581,1
220,219.00,0.248,36.96,49.99,0.681,7:30:34 PM:970,1
221,218.83,0.247,37.11,50.00,0.687,7:30:35 PM:342,1
222,218.76,0.219,38.12,49.98,0.796,7:30:35 PM:714,1
223,218.86,0.226,39.27,49.99,0.794,7:30:36 PM:085,1
224,218.93,0.206,34.32,49.99,0.761,7:30:36 PM:458,1
225,219.02,0.280,35.15,49.98,0.573,7:30:36 PM:832,1
226,218.81,0.258,44.50,49.99,0.788,7:30:37 PM:224,1
227,218.78,0.388,76.62,49.99,0.903,7:30:37 PM:614,1
228,218.84,0.195,31.10,49.98,0.729,7:30:38 PM:001,1
229,218.72,0.320,56.50,49.99,0.807,7:30:38 PM:378,1
230,218.86,0.190,31.00,49.98,0.745,7:30:38 PM:769,1
231,219.01,0.256,45.94,49.98,0.819,7:30:39 PM:156,1
232,218.96,0.310,59.32,49.98,0.874,7:30:39 PM:533,1
233,219.11,0.266,48.87,49.99,0.838,7:30:39 PM:900,1
234,218.99,0.221,36.80,49.97,0.760,7:30:40 PM:280,1
235,218.81,0.242,41.79,49.97,0.789,7:30:40 PM:651,1
236,218.90,0.368,73.01,49.98,0.906,7:30:41 PM:027,1
237,218.99,0.285,54.01,49.97,0.865,7:30:41 PM:404,1
238,219.06,0.305,58.72,49.97,0.879,7:30:41 PM:792,1
239,219.08,0.287,54.10,49.97,0.860,7:30:42 PM:170,1
240,219.06,0.320,61.23,49.98,0.874,7:30:42 PM:545,1
241,219.03,0.290,47.54,49.97,0.748,7:30:42 PM:920,1
242,219.04,0.191,30.42,49.97,0.727,7:30:43 PM:298,1
243,219.05,0.240,39.15,49.97,0.745,7:30:43 PM:676,1
244,219.12,0.206,34.77,49.96,0.770,7:30:44 PM:052,1
245,219.20,0.238,42.24,49.97,0.810,7:30:44 PM:428,1
246,219.25,0.297,48.31,49.97,0.742,7:30:44 PM:803,1
247,219.15,0.411,40.96,49.97,0.455,7:30:45 PM:188,1
