??,??(V),??(A),??(W),??(Hz),????,??,??
1,221.66,0.300,48.13,50.04,0.724,3:06:20 PM:469,1
2,221.61,0.282,52.76,50.05,0.844,3:06:20 PM:891,1
3,221.49,0.234,42.02,50.02,0.811,3:06:21 PM:266,1
4,221.67,0.249,43.82,50.02,0.794,3:06:21 PM:641,1
5,221.52,0.315,58.41,50.03,0.837,3:06:22 PM:016,1
6,221.56,0.336,64.29,50.02,0.864,3:06:22 PM:391,1
7,221.66,0.348,69.21,50.03,0.897,3:06:22 PM:766,1
8,221.59,0.333,65.81,50.04,0.892,3:06:23 PM:140,1
9,221.74,0.257,45.55,50.04,0.799,3:06:23 PM:516,1
10,221.56,0.248,40.96,50.04,0.745,3:06:23 PM:890,1
11,221.44,0.317,58.18,50.05,0.829,3:06:24 PM:265,1
12,221.81,0.279,52.73,50.04,0.852,3:06:24 PM:718,1
13,221.67,0.432,55.49,50.03,0.579,3:06:25 PM:109,1
14,221.84,0.305,58.04,50.02,0.858,3:06:25 PM:499,1
15,221.58,0.295,56.18,50.02,0.860,3:06:25 PM:890,1
16,221.54,0.284,46.06,50.03,0.732,3:06:26 PM:280,1
17,221.57,0.389,44.15,50.04,0.512,3:06:26 PM:655,1
18,221.51,0.290,55.24,50.04,0.860,3:06:27 PM:046,1
19,221.65,0.256,46.97,50.02,0.828,3:06:27 PM:421,1
20,221.79,0.276,44.45,50.01,0.726,3:06:27 PM:811,1
21,221.60,0.287,54.21,50.03,0.852,3:06:28 PM:202,1
22,221.41,0.344,67.71,50.04,0.889,3:06:28 PM:592,1
23,221.51,0.326,63.56,50.03,0.880,3:06:28 PM:983,1
24,221.78,0.222,37.08,50.03,0.753,3:06:29 PM:373,1
25,221.76,0.268,46.66,50.04,0.785,3:06:29 PM:749,1
26,221.52,0.309,49.70,50.04,0.726,3:06:30 PM:123,1
27,221.56,0.300,56.91,50.03,0.856,3:06:30 PM:498,1
28,221.51,0.275,50.57,50.04,0.830,3:06:30 PM:904,1
29,221.43,0.289,54.01,50.03,0.844,3:06:31 PM:279,1
30,221.53,0.421,59.66,50.04,0.640,3:06:31 PM:670,1
31,221.40,0.294,56.15,50.04,0.863,3:06:32 PM:076,1
32,221.54,0.289,50.92,50.05,0.795,3:06:32 PM:466,1
33,221.21,0.222,37.01,50.04,0.754,3:06:32 PM:841,1
34,221.04,0.320,59.31,50.03,0.838,3:06:33 PM:232,1
35,221.18,0.213,35.84,50.05,0.761,3:06:33 PM:607,1
36,221.02,0.220,38.41,50.02,0.790,3:06:33 PM:982,1
37,221.25,0.216,37.74,50.01,0.790,3:06:34 PM:357,1
38,221.27,0.265,48.00,50.04,0.819,3:06:34 PM:747,1
39,221.16,0.233,40.55,50.02,0.787,3:06:35 PM:153,1
40,221.41,0.259,46.23,50.04,0.806,3:06:35 PM:528,1
41,221.12,0.368,72.03,50.02,0.885,3:06:35 PM:919,1
42,221.17,0.244,41.32,50.02,0.766,3:06:36 PM:302,1
43,221.43,0.425,63.95,50.03,0.679,3:06:36 PM:694,1
44,221.10,0.281,51.79,50.03,0.834,3:06:37 PM:084,1
45,221.37,0.276,50.94,50.03,0.834,3:06:37 PM:470,1
46,221.66,0.267,49.66,50.03,0.839,3:06:37 PM:845,1
47,221.54,0.270,48.16,50.04,0.805,3:06:38 PM:230,1
48,221.59,0.365,64.84,50.03,0.802,3:06:38 PM:656,1
49,221.54,0.333,64.60,50.03,0.876,3:06:39 PM:042,1
50,221.77,0.255,45.45,50.02,0.804,3:06:39 PM:416,1
51,221.92,0.272,50.51,50.01,0.837,3:06:39 PM:807,1
52,221.46,0.243,40.30,50.03,0.749,3:06:40 PM:182,1
53,221.66,0.212,34.98,50.03,0.744,3:06:40 PM:565,1
54,221.61,0.255,46.42,50.03,0.821,3:06:40 PM:940,1
55,221.49,0.343,67.71,50.03,0.891,3:06:41 PM:315,1
56,221.63,0.218,37.53,50.02,0.777,3:06:41 PM:696,1
57,221.43,0.272,50.65,50.01,0.841,3:06:42 PM:087,1
58,221.46,0.264,45.65,50.04,0.781,3:06:42 PM:477,1
59,221.59,0.303,54.43,50.03,0.811,3:06:42 PM:852,1
60,221.54,0.265,48.97,50.03,0.834,3:06:43 PM:242,1
61,221.55,0.368,73.61,50.03,0.903,3:06:43 PM:633,1
62,221.36,0.350,68.45,50.03,0.883,3:06:44 PM:024,1
63,221.52,0.291,55.73,50.03,0.865,3:06:44 PM:398,1
64,221.47,0.317,54.07,50.03,0.770,3:06:44 PM:789,1
65,221.41,0.240,40.99,50.03,0.771,3:06:45 PM:164,1
66,221.49,0.236,41.76,50.03,0.799,3:06:45 PM:539,1
67,221.51,0.227,38.49,50.02,0.765,3:06:45 PM:914,1
68,221.44,0.263,45.46,50.01,0.781,3:06:46 PM:289,1
69,221.40,0.288,54.48,50.02,0.854,3:06:46 PM:664,1
70,221.47,0.249,45.84,50.02,0.831,3:06:47 PM:054,1
71,221.48,0.313,54.51,50.04,0.786,3:06:47 PM:429,1
72,221.54,0.199,32.77,50.03,0.743,3:06:47 PM:804,1
73,221.48,0.219,35.01,50.02,0.722,3:06:48 PM:179,1
74,221.59,0.208,35.97,50.01,0.780,3:06:48 PM:554,1
75,221.61,0.249,43.31,50.02,0.785,3:06:48 PM:929,1
76,221.51,0.224,38.88,50.02,0.784,3:06:49 PM:304,1
77,221.72,0.223,35.85,50.03,0.725,3:06:49 PM:679,1
78,221.60,0.229,40.71,50.04,0.802,3:06:50 PM:053,1
79,221.68,0.220,38.70,50.02,0.794,3:06:50 PM:429,1
80,221.74,0.267,38.51,50.02,0.651,3:06:50 PM:803,1
81,221.58,0.353,67.77,50.03,0.866,3:06:51 PM:194,1
82,221.54,0.227,39.78,50.02,0.791,3:06:51 PM:569,1
83,221.42,0.227,39.82,50.01,0.792,3:06:51 PM:944,1
84,221.43,0.186,30.39,50.00,0.738,3:06:52 PM:334,1
85,221.48,0.315,60.74,50.02,0.871,3:06:52 PM:709,1
